title,artist,year,position,mood_tone,instrumentation,genre,lyrics
Goodnight Irene,Gordon Jenkins & The Weavers,1950,1,"melancholic, nostalgic, reflective, sorrowful","acoustic guitar, banjo, strings, male vocal harmonies","folk ballad, traditional pop, orchestral folk","[Verse]
Last night I dreamed you held my hand  
We walked again along the sand  
Your voice a song I can't forget  
But you're a ghost I'm not done with yet  

[Chorus]
Goodnight Irene, but not goodbye  
You're still the tear behind my eye  
Though you may drift with stars above  
I dream of you, my only love  

[Bridge]
They say that time will heal and mend  
But dreams of you will never end  

[Outro]
So sleep, my dear, where moonlight's been  
I'll find you there, goodnight Irene"
Mona Lisa,Nat King Cole,1950,2,"romantic, mysterious, smooth, introspective","piano, lush strings, subtle percussion, male baritone vocal","traditional pop, vocal jazz, romantic ballad","[Verse]
Mona Lisa, eyes so deep  
Tell me secrets that you keep  
You wear that smile so full of grace  
But shadows linger on your face  

[Chorus]
Are you real or just a dream?  
A silent voice behind the gleam  
Mona Lisa, tell me true  
Is there someone loving you?  

[Bridge]
Every line, a mystery  
Painted soft in secrecy  

[Outro]
Mona Lisa, still and bright  
Stay with me another night"
Third Man Theme,Anton Karas,1950,3,"playful, suspenseful, cinematic, whimsical","solo zither, rhythmic plucking, no vocals","instrumental soundtrack, light classical, film score",
Sam's Song,Gary & Bing Crosby,1950,4,"cheerful, lighthearted, playful, familial","brass, piano, rhythm section, dual male vocals","traditional pop, novelty, vocal duet","[Intro]
Hey there, Sam, play that tune...  

[Verse]
Sam’s got rhythm, Sam’s got style  
He sings his song and makes you smile  
With brother Bing he harmonized  
A little jazz, some sweet surprise  

[Chorus]
It’s Sam’s song, a melody  
That bounces like a summer breeze  
You tap your toes and clap along  
To the simple joy of Sam’s song  

[Bridge]
In every bar, in every beat  
He makes our day feel so complete  

[Outro]
So thanks to Sam, we’ll sing tonight  
With hearts aglow and voices light"
Simple Melody,Gary & Bing Crosby,1950,5,"whimsical, nostalgic, humorous, contrasting","orchestral backing, woodwinds, piano, contrapuntal male vocals","novelty pop, traditional pop, counterpoint duet","[Verse]
I don’t want fancy harmony  
Just give me something sweet and free  
Two lines that dance and twirl and play  
In that old-fashioned kind of way  

[Chorus]
A simple melody, that’s all I need  
No fancy chords or lightning speed  
Just notes that hum, like morning sun  
And voices twined ‘til day is done  

[Bridge]
Let the rhythm rise and fall  
With every heart that hears the call  

[Outro]
So sing it soft or play it loud  
That simple tune still draws a crowd"
Too Young,Nat King Cole,1951,1,"tender, sentimental, romantic, innocent","orchestral strings, soft piano, male baritone vocal, light percussion","traditional pop, romantic ballad, vocal jazz","[Verse]
They say we’re just too young to know  
What love is like or how it grows  
But every time I see your eyes  
I feel a truth that never lies  

[Chorus]
Too young to plan, too young to say  
But I still dream of us one day  
We may be small in others’ eyes  
But love like this will never die  

[Bridge]
We’ll prove them wrong with every kiss  
Young or not, we know what this is  

[Outro]
So hold me close, don’t let it end  
You’re more than love—you’re my best friend"
Because of You,Tony Bennett,1951,2,"romantic, heartfelt, emotional, warm","sweeping strings, soft brass, piano, male tenor vocal","traditional pop, big band ballad, classic crooner","[Verse]
Because of you, I see the light  
Where once was shadow, now there’s bright  
You took my hand, you showed the way  
And made me hope another day  

[Chorus]
Because of you, I feel again  
You turned my silence into rain  
Each moment with you feels brand new  
And all I am is because of you  

[Bridge]
No song could sing how much you mean  
You’re every breath, you’re every scene  

[Outro]
So if I shine, it’s not alone  
Because of you, I’m finally home"
How High the Moon,Les Paul & Mary Ford,1951,3,"playful, energetic, inventive, joyful","multi-tracked electric guitar, layered female vocals, fast tempo rhythm","jazz, early pop, experimental recording","[Verse]
They say the moon is far away  
But with your love, it’s close today  
Your voice, a melody so true  
Brings heaven just a step from you  

[Chorus]
How high the moon, how deep the blue  
Still not as far as I’d go for you  
Even stars can’t shine so bright  
As loving you each gentle night  

[Bridge]
Your laugh’s the rhythm I adore  
Each kiss leaves me wanting more  

[Outro]
So let’s just float beyond the sky  
With you, I feel I’ll always fly"
Come on-a My House,Rosemary Clooney,1951,4,"flirtatious, quirky, exotic, catchy","clavichord, hand percussion, novelty instruments, female vocal","novelty pop, exotic pop, traditional pop","[Intro]
Come on-a my house, come on-a quick...  

[Verse]
I got peaches and a plum or two  
I’ve got a smile just made for you  
Come on-a baby, don’t be shy  
My love is fresh and oven-fried  

[Chorus]
Come on-a my house, take a bite  
I’ll treat you good both day and night  
Sugar and spice and maybe wine  
Let’s share a taste, then call it mine  

[Bridge]
I’ve got charm and candied fruit  
All I’m missin’ now is you  

[Outro]
Come on-a my house, don’t be late  
This lovin’ dish is on your plate"
Be My Love,Mario Lanza,1951,5,"dramatic, passionate, romantic, operatic","full orchestra, rich strings, powerful male tenor vocal, classical phrasing","operatic pop, classical crossover, romantic ballad","[Verse]
Be my love, and I will give  
A world in which your dreams may live  
My voice will rise, my heart will soar  
If I can be yours evermore  

[Chorus]
Be my love, don’t turn away  
Let passion bloom, let silence sway  
I’ll sing your name, I’ll call the skies  
Just to be where your heart lies  

[Bridge]
You’re the fire in my soul  
The one who makes me whole  

[Outro]
So take my hand, don’t ask why  
Be my love, until we die"
