year,position,artist,title,signal_length,alpha,intercept,r_squared,log_n,log_fn
1950,1,Gordon Jenkins & The Weavers,Goodnight Irene,14266,1.1690291349784097,-6.700513880004652,0.9918462732378661,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.6220451343914215, -5.184561108075613, -4.847682623828647, -4.370904874053029, -4.181957250047219, -3.8781649988662994, -3.5301963633288014, -3.2526083180396177, -3.0243412204025084, -2.7963291176305574, -2.550101935630709, -2.315029020920919, -2.0866058514919543, -1.8701324560540162, -1.6684980197308454, -1.4496404633065978, -1.31347975834704, -1.1371887526273763, -0.9858802638551353, -0.8092650451329025, -0.6525472463958082, -0.4396899214561412, -0.2602398856661023, -0.06810135340994034, 0.18720874907314292, 0.3893200146601051, 0.5987158077444454, 0.8497746876588973, 1.0289628630827807, 1.166325889423009, 1.4601754856238778, 1.5276360480140032]"
1950,2,Nat King Cole,Mona Lisa,14266,1.2569828405147945,-7.551769555120191,0.9972786501514183,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-6.171440073210157, -5.772179355188483, -5.452985760522237, -4.983606524977384, -4.799829401406502, -4.491660306578206, -4.151367375678456, -3.874953631721166, -3.6656356788815194, -3.4288084590303267, -3.191236510975909, -2.974814601423729, -2.7485444502463987, -2.506654447812285, -2.3015083344602214, -2.0806070283642533, -1.8601522982867436, -1.6339307465741866, -1.4255409549023232, -1.2159908969760627, -0.9336215481820109, -0.7520763805523503, -0.5594921957930976, -0.33090283362361567, -0.0912398609673399, 0.1181932007044259, 0.3885848538208412, 0.5151489161013247, 0.7828159668632504, 1.0093736447597612, 1.2239561121712288, 1.321790561933311]"
1950,3,Anton Karas,Third Man Theme,14266,0.894049980644219,-5.262988599935396,0.9281274096231144,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.113057615793626, -4.645268472580493, -4.285772218500681, -3.749833396809835, -3.5395950183691256, -3.195860326062519, -2.799742642794134, -2.4939419345538223, -2.2512471899373034, -1.990463796870665, -1.7388572840364847, -1.506084172482422, -1.3170561291448417, -1.1383771595388597, -1.0035917942661652, -0.9429760090605382, -0.8506661463188794, -0.7496592655197791, -0.6794631200060421, -0.6233221607537618, -0.5267775989599458, -0.4255426536058342, -0.34459674966616094, -0.24509935357846258, -0.09175427401171606, 0.03365173678616146, 0.135574266880544, 0.2460886801086322, 0.4162980325174708, 0.4770497244724365, 0.6617135683564814, 0.7736160131272867]"
1950,4,Gary & Bing Crosby,Sam's Song,14266,1.0419271292663548,-6.450204486483059,0.960580642072929,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.8723784281902525, -5.428889135364576, -5.0843076814464725, -4.576765810116815, -4.381495459227401, -4.047947159115734, -3.66952064754715, -3.3622544410331496, -3.1164604095555615, -2.8411629465399537, -2.5706969508649955, -2.314667363621778, -2.0891410547011917, -1.8433878348015995, -1.6376955517936786, -1.4862565825516187, -1.337490224610577, -1.2151837544410005, -1.1064719688112326, -1.0130440379738437, -0.9024613078526682, -0.7768529766830627, -0.6400936854782501, -0.5372976300474854, -0.42509968533897624, -0.2714287151241351, -0.12839792207616674, 0.01586900036557564, 0.21193460484007307, 0.349280343852782, 0.5109469664051485, 0.7537575371415185]"
1950,5,Gary & Bing Crosby,Simple Melody,14266,1.0709512343582959,-6.5319154303085085,0.9681091872637851,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.809275097604622, -5.379054669920693, -5.049101355907817, -4.571593076843136, -4.379895670227369, -4.071171174014928, -3.704822536956423, -3.418811027793406, -3.180195594795287, -2.902802699903137, -2.6428521063363024, -2.385566471245679, -2.133974226438638, -1.8967654470699942, -1.6798429313920689, -1.4784537227943393, -1.2998689810660797, -1.1239175934870629, -0.9853853149230488, -0.8814999520492681, -0.746154015248694, -0.642312864566533, -0.520279714038931, -0.39380742849065814, -0.3093048096742713, -0.10906588510967544, 0.0016604882380028161, 0.15165420244348682, 0.2904937344190767, 0.43521015591755613, 0.607838382243231, 0.8141710754447374]"
1951,1,Nat King Cole,Too Young,14266,1.2253893673077083,-6.498040608812076,0.9919275981843622,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.34054258856013, -4.896007906803686, -4.558318591241505, -4.0676607083379395, -3.873537825729871, -3.5571083758155573, -3.1952370574262234, -2.917971716151597, -2.6922171803863235, -2.4351276743105803, -2.1800915475471796, -1.9294195848942344, -1.6920778876545166, -1.4488179644748738, -1.2250006219225007, -1.0227889977464115, -0.800734876058941, -0.5923712878495826, -0.4446998647111514, -0.2601560816985241, -0.08345037889090379, 0.09215963100442143, 0.2918228866478993, 0.5348225768303427, 0.7579910506120151, 0.9672814471697876, 1.1885802001921781, 1.3878802756251845, 1.562817455575697, 1.7411344415588572, 1.8861677160870802, 2.069050236096371]"
1951,2,Tony Bennett,Because of You,14266,1.2030087465540353,-6.72539290593502,0.9894019760609852,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.595007320930825, -5.155612770375673, -4.821782363144377, -4.350999305688162, -4.1633673015829995, -3.8625337185460356, -3.5136867650564616, -3.2387723824206835, -3.024763171738612, -2.7859560910493086, -2.533595827602656, -2.2875235469164568, -2.0445212685603997, -1.7984422181068622, -1.577844864476998, -1.3323484764482163, -1.1166764779234335, -0.8838517224300451, -0.6950967870397574, -0.4938011639845686, -0.30300154621562386, -0.09035373141070116, 0.11962630709135735, 0.24241118787915056, 0.4540858270144834, 0.6212090670140668, 0.8149134513935804, 1.0162531489751605, 1.1701215075529445, 1.2206633170696817, 1.4053059722137675, 1.4691656443298802]"
1951,3,Les Paul & Mary Ford,How High the Moon,14266,0.8649799615107595,-5.292421357537312,0.9540715114484332,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-4.920854357875092, -4.508940087724223, -4.192370704830819, -3.7437596720324215, -3.567047112184794, -3.2863395445467445, -2.951268685142213, -2.693527264468741, -2.480079445703825, -2.252515067222519, -2.0131109380877317, -1.8055730587435843, -1.6095862847886482, -1.4462756804420123, -1.2689005215108031, -1.1433212925106546, -1.017141623063161, -0.9490850034929795, -0.8806873309135226, -0.8287972462433357, -0.7327383221767069, -0.650118489231981, -0.5573965346083952, -0.39979703401169064, -0.26938932138277605, -0.1859621783967722, -0.05357386942263715, 0.09006354435658916, 0.2607168945152497, 0.39908778410516804, 0.49553266003822033, 0.6548134778758417]"
1951,4,Rosemary Clooney,Come on-a My House,14266,0.9174469069657715,-5.757980574205352,0.9654328218345192,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.337984326677497, -4.89067746710886, -4.546256507846467, -4.046066470828489, -3.85757807854679, -3.546109482230196, -3.1954790112105846, -2.9369644022076655, -2.7224818224040153, -2.507331207839656, -2.2868154786753236, -2.0859222686245245, -1.918871126701501, -1.7536088501588325, -1.6391588175236287, -1.5293894278519349, -1.4381427189333744, -1.3226056427084703, -1.2191317767562186, -1.0813730418272043, -0.9530615900518888, -0.8290893342212018, -0.673386699195227, -0.5520744310480674, -0.37912685858338524, -0.32224656200663904, -0.18085783731223776, 0.13017178851553216, 0.23943803385180876, 0.25406735298438454, 0.44053862042174835, 0.6120886878647699]"
1951,5,Mario Lanza,Be My Love,14266,1.2217225240816485,-7.4889213984666405,0.9977138006745414,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-6.135008044542754, -5.716065682508925, -5.398819172897574, -4.932655671169607, -4.758023608220608, -4.471374390144501, -4.151677994167935, -3.906760679661557, -3.7145559221308013, -3.49328422106906, -3.2672210182091166, -3.0545944492917876, -2.8476524460760118, -2.618366976312444, -2.3948689694234297, -2.2056182743999933, -1.9871299325053207, -1.7785597493544556, -1.582674421450405, -1.3595696027003072, -1.159214063102039, -0.9375919541648757, -0.733016840993884, -0.5687819226323882, -0.34402765600262647, -0.07524920839380748, 0.13064077743341831, 0.4010621011644557, 0.6314061292413992, 0.9101612125862825, 1.1359431546793526, 1.4290252334234335]"
