year,position,artist,title,signal_length,alpha,intercept,r_squared,log_n,log_fn
1950,1,Gordon Jenkins & The Weavers,Goodnight Irene,10935,1.2815489002005844,-7.127203939281335,0.9934641186722054,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928]","[-5.846255022771899, -5.3897234395095746, -5.041666051475599, -4.532138306703039, -4.338288710633993, -4.020166478908373, -3.6530652125666294, -3.3665048563567237, -3.135910757112176, -2.8787713717442713, -2.6145491636668696, -2.3912939112110196, -2.1649537099512512, -1.8999784018973804, -1.6920088043615518, -1.4496673950447794, -1.2765574168276737, -1.0496634541736152, -0.8690722384429579, -0.632063036127552, -0.4321911500882102, -0.22639884026176108, 1.4630058347576386e-05, 0.20019576929741098, 0.4087144224273716, 0.6395527310614638, 0.8987163554904304, 1.101049695412485, 1.2033776567885164, 1.4103896752115017]"
1950,2,Nat King Cole,Mona Lisa,9717,1.1785674324196627,-6.405306079725564,0.9836721188944222,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928]","[-5.410085531343748, -4.956028569344415, -4.60990969373336, -4.099290078594211, -3.9065734248883293, -3.5844275866451802, -3.2094300020734985, -2.9250346567801024, -2.693102650500324, -2.4350906124764826, -2.1831432882678032, -1.9315629209716798, -1.7025218742476649, -1.453396809887843, -1.2429501370140186, -1.0729948968290248, -0.8766193562679174, -0.704201766730219, -0.5850875532817155, -0.4034162134190255, -0.2231463487437292, -0.053980960448994725, 0.11552051412449901, 0.31584346604870583, 0.4775801812362366, 0.6642433920980584, 0.8472777727946323, 1.0160127764900062, 1.19543173908208, 1.3285619268437163]"
1950,3,Anton Karas,Third Man Theme,8583,1.1609465254590796,-6.385302935231914,0.9878499785118614,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654]","[-5.309922806373288, -4.877917394736142, -4.550783411023259, -4.058079092759094, -3.862535830648927, -3.543381140812584, -3.1806924774050747, -2.895682414717353, -2.664514180789192, -2.3924325572574103, -2.1616062928943607, -1.9384014410862718, -1.7708326111422996, -1.6116950843457223, -1.4623100363360106, -1.3621861476808346, -1.1688425476476514, -0.9765202136548313, -0.8150408432965197, -0.6290825585239572, -0.44166551063176324, -0.30033686763987866, -0.05453960917325156, 0.15276010544885996, 0.3779266211532352, 0.6253367560860982, 0.8840044101371964, 1.110791584994657, 1.392654584589552]"
1950,4,Gary & Bing Crosby,Sam's Song,11730,1.067791537350326,-6.249651504321824,0.9577628970930564,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.612676515581194, -5.148129683210438, -4.793623385157952, -4.293797206062966, -4.093457991163291, -3.7655139711867482, -3.4031077615330614, -3.1074500897422332, -2.880834944471901, -2.620967135451688, -2.3778180524894728, -2.124481295261131, -1.8859275336326589, -1.6489409264545754, -1.4081129643609698, -1.1983304498377927, -0.9945041537060026, -0.8437020194776453, -0.6754795529740107, -0.509203995849838, -0.3686713219136781, -0.31093197648277726, -0.2192751172201782, -0.17045975875407693, -0.029195048384772326, 0.03831170906308413, 0.13952153296760803, 0.27141864251620496, 0.42441521100144064, 0.5654403973480316, 0.7815291604426413]"
1950,5,Gary & Bing Crosby,Simple Melody,13500,1.1445706748881024,-16.166056138358105,0.9918564888962402,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-14.921759891379835, -14.466606122815838, -14.178847825971383, -13.728881515190619, -13.518278380869416, -13.240346083894448, -12.885787561720939, -12.688964472996014, -12.517759094792412, -12.385126752853525, -12.244210341674593, -12.00822345622226, -11.831558700425571, -11.73446623088477, -11.50408645627794, -11.317430177343581, -11.078330885995763, -10.936071804385634, -10.783581561378268, -10.61653178065277, -10.434280596300392, -10.255975927222885, -9.985438381442254, -9.728232116181445, -9.477823444709884, -9.198798828477623, -8.980434970086225, -8.648158827250377, -8.39962745430004, -8.054049996427722, -7.750107762232851]"
1951,1,Nat King Cole,Too Young,13500,1.2626700708449814,-6.784094515784874,0.9926984329167547,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.5426072115024585, -5.0991839784441515, -4.7537340622786415, -4.25321984770969, -4.056906469018016, -3.736328904579571, -3.3685288606974617, -3.0726326816624687, -2.847211234221983, -2.5829617082616623, -2.3396799939071964, -2.1004214739004317, -1.8481067020493231, -1.6233760998874203, -1.4109320020862477, -1.237774226781475, -1.0098399789866912, -0.8047843169584251, -0.6354997061843705, -0.4283535685520051, -0.15847511751096308, 0.05180145167634082, 0.2892209927339774, 0.5287028461937852, 0.7604485526867274, 0.9797024543870065, 1.168798979907907, 1.3115864320538109, 1.4336176836684795, 1.6217742945721605, 1.7533178161833813]"
1951,2,Tony Bennett,Because of You,13500,1.2406596705946091,-6.857888392355819,0.9922419883137376,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.600282608018686, -5.179161065863321, -4.852650859370279, -4.370882254990976, -4.184584633240616, -3.877528894596993, -3.5353029185305345, -3.2492837314391627, -3.0257770349938675, -2.7775800504764585, -2.5350220385054105, -2.302456783576541, -2.043230249112163, -1.8228792585329356, -1.6059037153774651, -1.3849896165794322, -1.1586196023136113, -0.9597575980003255, -0.7112477651203919, -0.5024673566017309, -0.284041457418479, -0.06832853520162217, 0.13306828100512944, 0.3862629538935034, 0.5578276081130779, 0.780743193544771, 0.9283286909038907, 1.0763488681307742, 1.2095622825855563, 1.3246321291469212, 1.4197763136294277]"
1951,3,Les Paul & Mary Ford,How High the Moon,12768,1.1500250405449597,-6.838786282969288,0.9904042752841768,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.772471320984959, -5.343126702664122, -5.022502071456074, -4.531043104251986, -4.353239822552185, -4.064221887823459, -3.721863519872915, -3.4635467470095644, -3.2576420942627875, -3.016639797080502, -2.7848258268141737, -2.569428503001667, -2.354093992156586, -2.139466242183687, -1.9493938896051706, -1.7314703869689545, -1.5567592138659798, -1.3469088803408233, -1.1447537998433501, -0.9737881714551047, -0.7643433513628705, -0.5716574945219765, -0.35983036720627165, -0.17079990368433906, 0.05034105542724993, 0.1769043574968529, 0.3722214849845708, 0.4848797601689394, 0.6282587492060357, 0.7342688692747525, 0.8851979158205492]"
1951,4,Rosemary Clooney,Come on-a My House,10413,1.0678528239157425,-5.792771919526948,0.9773898224848561,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928]","[-5.064074993937327, -4.591367019057992, -4.2363395272053985, -3.7067571135215283, -3.506989348218913, -3.1803635281722364, -2.8062349507106448, -2.5398162871817496, -2.3384745334320236, -2.089927650110535, -1.8951333585522854, -1.68491501349434, -1.48856475536606, -1.2985653600367784, -1.1357301324864002, -0.9800952434184141, -0.8009723194646061, -0.6739637474415973, -0.5286443575798081, -0.38129180500945026, -0.21909770749406937, -0.0963895392380141, 0.09675882613108196, 0.25671140943082277, 0.40181959502712994, 0.5836535408700622, 0.7524070956856111, 0.99374802676154, 1.1263807896659228, 1.216984161396105]"
1951,5,Mario Lanza,Be My Love,12390,1.2185611143181576,-6.898387318684078,0.9956324205148511,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.585640816303913, -5.163578746311555, -4.858684026645191, -4.387906911708892, -4.216174259121476, -3.932580852956906, -3.625950785562574, -3.383745448716761, -3.1625644081598803, -2.9488495429301453, -2.711967248173962, -2.503979948987518, -2.2917085945146294, -2.026062416546455, -1.8018472039757947, -1.571040980895118, -1.3467190848224353, -1.1304854203241819, -0.8995232563202226, -0.6641080629699849, -0.44250611242834514, -0.2132486316390235, -0.018149259139015883, 0.21296855638734963, 0.3934216277237619, 0.5804321562731467, 0.7664302626619188, 0.9146438785125627, 1.0576432387073225, 1.21981166448758, 1.3428652350984973]"
