year,position,artist,title,alpha,f_alpha,alpha_width,alpha_peak,spectrum_skew,truncation,H_q
1950,1,Gordon Jenkins & The Weavers,Goodnight Irene,"[1.2285439901864306, 1.2294857516780842, 1.2315315619509168, 1.2339397269798762, 1.23679522677917, 1.2402032075188083, 1.2442908348355193, 1.2492067991986922, 1.255116990893614, 1.2621954604977401, 1.2706119211929554, 1.280521208838467, 1.292065661272211, 1.305405782847371, 1.3207931426588013, 1.3386860078382925, 1.3598804165291918, 1.3856056695284924, 1.4175547722451742, 1.4579278158808537, 1.5175197238701514, 1.8658422393271452, 2.4045462076324027, 2.6628656222494356, 2.663122578810499, 2.6642839213647727, 2.6654959370877256, 2.6656630443631006, 2.6670454722251256, 2.6683739970223446, 2.6696340788993345, 2.670819261397185, 2.671924617955957, 2.672947269048798, 2.6738871337279146, 2.674746677726749, 2.675530080541245, 2.6759033463334068, 2.676509308491876, 2.709426576765673, 2.7203687720618, 2.771276767175418]","[0.24739768291955855, 0.25635590198650604, 0.27527748810312147, 0.2963735548289588, 0.3199930001636542, 0.34651743187873585, 0.37633557494236314, 0.409797306177202, 0.4471447844314014, 0.4884265687766627, 0.5334148855783951, 0.5815619495704851, 0.6320370153172732, 0.683865954416472, 0.7361389041773503, 0.7881664212813173, 0.839396690897225, 0.8889506326459506, 0.9348290788428628, 0.9730391326273677, 0.998599109615474, 0.9316862566544191, 0.6893821853572351, 0.6044600958002864, 0.6032838229337418, 0.5981381794717127, 0.596009229919181, 0.5914046994245883, 0.583992038546155, 0.5762232103921541, 0.5682412382986506, 0.560156786157421, 0.5520788039660012, 0.5441073163359249, 0.5363233289301093, 0.5287856913681956, 0.5215338777777845, 0.5179833007303927, 0.5652889231124751, 0.4888313658415866, 0.41514557605631497, 0.37137641484906414]",1.5427327769889876,1.5175197238701514,0.6253716288471859,left,"[2.627701676406446, 2.625229795897371, 2.6225310381216027, 2.6195707236882986, 2.6163060568359886, 2.61268342751275, 2.6086345311642685, 2.6040707113817225, 2.598874603526658, 2.5928875312703097, 2.5858896761555203, 2.577566370619195, 2.567443971400402, 2.55475138176818, 2.538083463446852, 2.514480634379253, 2.4765608656490627, 2.403082953015584, 2.240788144427978, 1.9800351942872914, 1.585755891610263, 1.5232633744467075, 1.494774334623451, 1.4709949275940266, 1.4506488704072928, 1.433044146231567, 1.417642159906165, 1.4040108728797909, 1.3918157553068686, 1.380809675225104, 1.3708157355100992, 1.3617071101990783, 1.3533889851940741, 1.3457852462468642, 1.3388301712236355, 1.3324640811367714, 1.3266315471735561, 1.3212809449406553, 1.316364539128484, 1.3118386511070574, 1.3076637209564257, 1.3038042218944748]"
1950,2,Nat King Cole,Mona Lisa,"[1.0824994428817298, 1.0827827816728803, 1.0834323513123607, 1.0842855276718035, 1.085434520057584, 1.0870109136913189, 1.089199922519813, 1.0922583724605612, 1.0965368962682032, 1.1025070923575437, 1.1107945814999847, 1.1222162561261344, 1.1378067767483688, 1.1587849490682234, 1.1863627848267682, 1.221309415793219, 1.2633737227170614, 1.311001569475988, 1.3618391308446316, 1.4144438535119361, 1.5349504060587258, 3.2458614459144233, 3.4279052367636424, 3.4279411000539417, 3.4280396858894693, 3.428076048651467, 3.428266414751304, 3.428461937734112, 3.4284852927227725, 3.428716136035559, 3.428948873017505, 3.429177506551299, 3.429290244828291, 3.429369161179079, 3.431099865210299, 3.4342511647662866, 3.4399106602723277, 3.4501717860357335, 3.4696650326441936, 3.51519285712219, 3.7729056290134895, 4.430459249508759]","[0.06967797596900027, 0.07237314983604115, 0.07837333379776723, 0.0858351958165855, 0.09532071770755657, 0.10756274121856535, 0.12349199720502035, 0.14425479538527775, 0.17121349561300736, 0.20592178388800075, 0.2500652454239276, 0.3053422883204364, 0.3732101277964004, 0.454340453349773, 0.5476347117716709, 0.6489942282300509, 0.7507773861322686, 0.8431655217604788, 0.9173233441014292, 0.9684526187318001, 1.0108672869998003, 0.6393327694109906, 1.6876659754669703, 1.6874231705839158, 1.686905116667834, 1.6864927823972842, 1.6850951312599918, 1.684683410373509, 1.6833845897256445, 1.681469586610465, 1.679426273224685, 1.6773080007114274, 1.6762356122229676, 1.6803321805992546, 1.6728605662576417, 1.6607827001277915, 1.6418494603965836, 1.6125473791550835, 1.566524130055016, 1.482517992804099, 1.1523011349919763, 0.5613837818955782]",3.3479598066270295,3.4279052367636424,-0.4010955503344824,right,"[3.4969138060505878, 3.5003816809850643, 3.5042366492396995, 3.5085454304670707, 3.513390650840201, 3.5188757708211735, 3.525131924783497, 3.532327581512981, 3.5406824567402255, 3.5504879892954744, 3.562138222616559, 3.576177684361023, 3.5933780017783183, 3.6148651028012164, 3.6423401054743274, 3.678484900084446, 3.7277482474470345, 3.7978105386217336, 3.8977925597069096, 3.83101708476605, 1.7671258004994859, 1.4903945293595444, 1.4575586079118092, 1.4296339886814597, 1.402861763873422, 1.3769084690345834, 1.3521388398165635, 1.3290318372680103, 1.3079318918192853, 1.288973745926884, 1.2721160781201455, 1.2572104145362655, 1.2440601656644654, 1.23245788298767, 1.2222048664946488, 1.2131200194666893, 1.205042938239831, 1.1978340672514936, 1.1913734047332891, 1.1855585494590946, 1.1803025274593477, 1.17553164528483]"
1950,3,Anton Karas,Third Man Theme,"[1.0349541059723528, 1.0358010555609454, 1.037546350003886, 1.0393974786221132, 1.0413636743569443, 1.043463221761059, 1.0457303375808669, 1.0482250739024463, 1.0510468070316936, 1.05435181713127, 1.0583755441998735, 1.0634605348153081, 1.0700921261602228, 1.0789456650852027, 1.090950911073817, 1.1073787773914898, 1.1299477526031954, 1.1609284579871537, 1.2032206690510847, 1.260776353473862, 1.3532185496688647, 1.9566397857457285, 3.0640846189420246, 3.711511718719007, 3.8137580837995335, 3.8145733436591294, 3.8151622784801664, 3.816320239377297, 3.8183192150572296, 3.820611033942927, 3.823239407046436, 3.8262467625974845, 3.829665368539765, 3.833500970032895, 3.8377060809707175, 3.8415546696652303, 3.8421418913504466, 3.846531632604269, 3.850412618551589, 3.8508762443205566, 3.8531001517184866, 3.8536809484421846]","[0.3898995752989194, 0.3979559250440676, 0.41411928932845576, 0.4303598238032471, 0.44665007423670744, 0.4630190482536536, 0.4795845676782271, 0.4965894070577237, 0.514435953423833, 0.5337118526138047, 0.5551977877970238, 0.579848570728716, 0.6087397038428008, 0.6429713315648349, 0.6835149134956406, 0.7309677265218157, 0.7851449230163983, 0.8444125228672963, 0.9047272166201252, 0.9587326523101863, 0.9974639527930272, 0.879197372434126, 0.33431437632667915, -0.18045636709786983, -0.14382903846340866, -0.15158394932297625, -0.31637714017552465, -0.16774630573551264, -0.185265188787902, -0.20423218948808497, -0.22470256127770938, -0.24665892690179803, -0.26995387408846483, -0.29422712437847665, -0.3188023599139349, -0.36479400599332656, -0.3425880491150366, -0.36402887761062175, -0.3811639826357016, -0.386446422981388, -0.3918463728551469, -0.39414896342725037]",2.8187268424698315,1.3532185496688647,0.7741785838193238,left,"[3.6993751799531926, 3.6935093900123546, 3.6869213244174155, 3.6794738643706464, 3.6709943073701647, 3.6612626166839006, 3.6499949832768857, 3.6368205209929982, 3.6212477216348247, 3.602615225507799, 3.5800175579517965, 3.552188559014608, 3.51730836391592, 3.4726621431380797, 3.4139878138228212, 3.3341098503002216, 3.2198151780460487, 3.0441413820916448, 2.743537497698753, 2.1543142665884867, 1.4613490127256454, 1.363616343217453, 1.3171750619832743, 1.2813443514225822, 1.252058266022023, 1.2278261765623917, 1.207654442960631, 1.190765438355961, 1.1765335011241478, 1.1644549034687237, 1.1541247906054273, 1.1452178808680735, 1.1374727477522875, 1.130679310670185, 1.1246689046825697, 1.1193063124953244, 1.1144832831210598, 1.1101132105881413, 1.1061267564051613, 1.102468266591814, 1.099092868569133, 1.095964148442461]"
1950,4,Gary & Bing Crosby,Sam's Song,"[1.007418315443542, 1.0077798586854287, 1.0086980937678485, 1.0100865000579895, 1.0121340161098045, 1.0150953615103524, 1.0193043126484405, 1.0251800143808505, 1.0332162189761966, 1.0439404909823486, 1.0578352912254978, 1.0752338169726618, 1.096239576634644, 1.1207446094391995, 1.1485982472148293, 1.1799035725607057, 1.2153485406452804, 1.2564657706808546, 1.3057608053330074, 1.3669230254422708, 1.4505046970355144, 1.8301931557393039, 2.3371527828916405, 2.6664678671466944, 2.8806586759294133, 2.893160732135617, 2.894015169074174, 2.8958570703054716, 2.897988549703957, 2.900461755691978, 2.903340341324239, 2.906702383567294, 2.910643920827268, 2.915282936514653, 2.92076312100326, 2.92725536914828, 2.934950075391436, 2.9440136785252795, 2.9544045654999227, 2.9574546925134984, 2.9651308226094013, 2.97148695958418]","[-0.11394036149650866, -0.11050129163465883, -0.10203841735824426, -0.08991461154458591, -0.07302888993260659, -0.050045155634701466, -0.019423040853912, 0.020472266817932905, 0.07113804820061098, 0.133554164431553, 0.20769843972742397, 0.2921279192580286, 0.38390989215282634, 0.47912424258632136, 0.5738325381920042, 0.6650176926934175, 0.7508993533767785, 0.8303140973713057, 0.9012725835184692, 0.9592291956378569, 0.996246430381779, 0.9277795751685767, 0.7179073028809932, 0.4025271243325794, 0.11125342135802363, 0.35027220519225466, 0.3421446343132928, 0.3251058003047298, 0.3064285545650982, 0.2859642063172494, 0.2635509047648945, 0.23901480365548622, 0.2121741204834251, 0.18284895664966427, 0.15088200663041462, 0.116180219269026, 0.07880368322664566, 0.03918751576131285, -0.001213820227665252, -0.027257800830922996, -0.03790673326116689, -0.05750927470687728]",1.964068644140638,1.4505046970355144,0.548807641816571,left,"[2.8281879526548424, 2.824856015245572, 2.8210714968257253, 2.816741608953011, 2.811748217688969, 2.8059390093737897, 2.7991148213254835, 2.791011102085862, 2.7812701654051977, 2.769398609141725, 2.7547000786246136, 2.7361656070350806, 2.7122883146794785, 2.680739454637694, 2.6377910067347257, 2.5773244117388896, 2.489481694357189, 2.360107108439113, 2.176540109099409, 1.9516260968289982, 1.5340894139304686, 1.4658943324702203, 1.4226431247371998, 1.3867172868478628, 1.3558532279348041, 1.3288277241069701, 1.3047606143749773, 1.2830049082465818, 1.263117316465605, 1.2448260144095507, 1.227985160711719, 1.2125227387072866, 1.1983938790619413, 1.1855495790712964, 1.173923114604794, 1.1634296391139936, 1.1539723014491354, 1.145449726677189, 1.1377622116960695, 1.1308158643399782, 1.124524866267534, 1.118812351593193]"
1950,5,Gary & Bing Crosby,Simple Melody,"[1.118463478104023, 1.1190648287768021, 1.1204237531723942, 1.1221393226343204, 1.12431120512459, 1.1270634359179046, 1.1305479492542962, 1.1349478059016618, 1.1404802174937325, 1.1474001222285508, 1.1560060391962754, 1.1666506131231862, 1.1797575879851787, 1.1958447699564327, 1.2155513373485558, 1.2396709847630216, 1.2691983886605827, 1.3054013569019407, 1.3499673580971272, 1.405621051504952, 1.4851812593978835, 1.850849035728749, 2.375488343776283, 2.725712064372249, 2.8836061486182327, 2.883906406749437, 2.884571451224717, 2.8853834296982273, 2.88638434939334, 2.8876306208918967, 2.889196670234437, 2.8911771123323464, 2.893684505978957, 2.8968385361768005, 2.9007446693148555, 2.9023956946757288, 2.9054722576879826, 2.9110669393955333, 2.9176389941411194, 2.9254234795461955, 2.93399461230639, 2.937342312011917]","[0.14760086142646855, 0.15332102636265965, 0.16587783221204155, 0.1808924855322953, 0.1988408059364719, 0.2202424957157607, 0.2456394651888516, 0.27556348179064116, 0.31049461947552714, 0.3508154139581361, 0.3967682474493497, 0.44842102246276294, 0.5056352291856934, 0.5680162058643914, 0.6348224168951853, 0.7048246528012156, 0.7761156001796032, 0.8458544626945517, 0.9099343124108603, 0.9626649721066933, 0.997209598979657, 0.931692495850093, 0.7025144409767943, 0.37662959072147206, 0.3323512705150087, 0.3294951565840414, 0.3233470683284878, 0.3162376002160414, 0.30796327480199537, 0.2982701353906272, 0.2868553747078373, 0.27338733874127996, 0.2575583839749953, 0.23918189410496637, 0.21831946913468947, 0.14459820343722374, 0.1953611035525995, 0.17090753136297288, 0.1453904270581461, 0.11897503357249306, 0.0939148803658778, 0.08444966205242554]",1.8188788339078938,1.4851812593978835,0.5967650241924465,left,"[2.8168412756697334, 2.813417436031349, 2.8095909912286845, 2.805285548580678, 2.8004040289899517, 2.7948211871854958, 2.78837277493451, 2.7808396341412074, 2.771924080950856, 2.76121443903899, 2.7481308513840093, 2.731839653717754, 2.711109344018368, 2.684045710870346, 2.647561759365213, 2.596271976806399, 2.520258269169133, 2.4013746424032454, 2.214548328763856, 1.9689247464445687, 1.5707882687141304, 1.4966219035812902, 1.4566455896258048, 1.4238212219202218, 1.3956866001808461, 1.3711901708009857, 1.3496908869007502, 1.3307227289431511, 1.313920340353499, 1.2989867385933351, 1.2856755503812216, 1.2737798575514023, 1.2631243310447091, 1.2535590998997461, 1.2449548327408608, 1.2371989214172516, 1.2301926542264654, 1.2238491655991495, 1.2180919171862514, 1.212853506900249, 1.2080746695950866, 1.2037033919613762]"
1951,1,Nat King Cole,Too Young,"[1.166618065501054, 1.167220172371421, 1.1685889363229631, 1.1703365004430701, 1.172576149664037, 1.1754514276006576, 1.1791407479270055, 1.183861061571657, 1.1898706344624752, 1.1974723475445725, 1.2070204515321488, 1.2189335217553123, 1.2337125746677264, 1.2519569623318065, 1.2743648164565733, 1.301697483225429, 1.3346772918552323, 1.3738050477755914, 1.4191992035553418, 1.4710160156182528, 1.5429573402527894, 2.0241924511746374, 3.0104140347015176, 3.6299135576176282, 3.6300688593203674, 3.6304121069600814, 3.6308298378623247, 3.631344295055852, 3.6319877739990543, 3.6328090662052084, 3.633884826777013, 3.6353399003590354, 3.637384080082618, 3.64037915195105, 3.644960990824083, 3.6522537899023777, 3.6641915972528945, 3.681175303089559, 3.6837460389893777, 3.714086297522721, 3.7545817175080676, 3.7897156624524184]","[0.08186598100743758, 0.08759333904263578, 0.10023930976160855, 0.1155315191191928, 0.13403645530694241, 0.15639038223360657, 0.1832741288124513, 0.21537023553174706, 0.2533054502674137, 0.2975892279562178, 0.34856228216778806, 0.40635867331094033, 0.47085944660619905, 0.541594727041935, 0.6175562012187186, 0.6969062261465506, 0.776615456258563, 0.8521921252612699, 0.9178643787419738, 0.9676090829800468, 0.9986022775100476, 0.9028746593170646, 0.3943511458859512, 0.20722403298341874, 0.20574677288419707, 0.202573415304947, 0.19891573885312397, 0.19466289560508798, 0.18965870250855588, 0.18367453484797736, 0.17636465523305844, 0.1671930967667805, 0.15531511368257256, 0.13938797424808413, 0.11728057915535572, 0.08568158384205837, 0.03980977604673264, -0.15566873713831697, -0.025818530190401034, -0.11313155807864561, -0.21091173526396112, -0.28176259087114985]",2.6230975969513644,1.5429573402527894,0.7130573599784262,left,"[3.5506359609159706, 3.546570443136398, 3.542048620547927, 3.5369885386994047, 3.5312872608734542, 3.5248136023953474, 3.517397534925095, 3.508814274423515, 3.4987595682287873, 3.4868098177390765, 3.472354899304248, 3.4544794315891862, 3.43174170129958, 3.401739602705668, 3.3602186563908667, 3.2991918076934077, 3.2029441492211523, 3.0389690020850306, 2.7335269386361385, 2.182693934078985, 1.6259785543746028, 1.5486880024615943, 1.515283602212189, 1.4865504129869234, 1.4603782315511333, 1.436441361781887, 1.414668798934442, 1.3949817068414392, 1.377254403607011, 1.361328825780349, 1.347035071198741, 1.3342059107279616, 1.3226847025610728, 1.3123285406186194, 1.3030085443242434, 1.2946088883362796, 1.2870256028536322, 1.2801655597622654, 1.2739456653462504, 1.268292147943974, 1.2631398469848876, 1.2584314674003103]"
1951,2,Tony Bennett,Because of You,"[1.1085559377937264, 1.1088351627668538, 1.1094798784194175, 1.110329105393734, 1.1114604632956127, 1.1129855024619892, 1.1150664643330603, 1.1179418652766293, 1.1219644948586367, 1.1276538971167447, 1.1357575824812625, 1.1472945868479594, 1.1635195988552898, 1.1857164177633444, 1.2147624192006312, 1.250564800280412, 1.2917293639303262, 1.335911327509608, 1.380868937778429, 1.4259660119288053, 1.4841666578525066, 1.9067482438114984, 2.66844964967383, 2.867120267020716, 2.867432956785903, 2.8682675769889947, 2.8683580454948943, 2.869522683063783, 2.8707587063344695, 2.871988654505579, 2.8728200117668097, 2.873176916100764, 2.8743079857851854, 2.8753763126303817, 2.876381326984876, 2.8773249050968253, 2.8777816682493573, 2.885100392671845, 2.913645355773555, 2.9706988705774124, 3.056862180747579, 3.074407977896024]","[0.09003438263900065, 0.09269042506631031, 0.09864479801536241, 0.10607258471291203, 0.11541460504260748, 0.12726130196253038, 0.14240830912834035, 0.16193097110388877, 0.18727474008289757, 0.22033761760405568, 0.263472898401818, 0.3192614825677511, 0.3898393120177346, 0.47565843665558116, 0.5739719803400902, 0.6779794643231178, 0.7778529625075019, 0.8638535972997099, 0.9296641145947311, 0.9736083520150458, 0.9988558259790222, 0.913125510993612, 0.5445820133868258, 0.7211583909880535, 0.719526977149112, 0.7163714199803746, 0.7145198188306559, 0.7076872693171516, 0.6998468206860267, 0.6914509086514649, 0.699186339508902, 0.6827627450590334, 0.6739423999084728, 0.6650908914495375, 0.6562740299065837, 0.6475360015048324, 0.6431911812734299, 0.6585576777881013, 0.5776740693395466, 0.44280983545713504, 0.27749557323379115, 0.23227354831720248]",1.9658520401022976,1.4841666578525066,0.6178647096561405,left,"[2.8421007863767, 2.8402709975627176, 2.838292773542092, 2.8361441027716134, 2.8337977991071472, 2.8312197307698623, 2.8283661967632, 2.825179890216422, 2.821583395231796, 2.8174681001560113, 2.8126739380388246, 2.8069491829707696, 2.7998630371019084, 2.7905976112325765, 2.777414737205015, 2.7562329634364766, 2.716867795618996, 2.6336810164987994, 2.4448722875161297, 2.0460450679691595, 1.550562838885308, 1.4888577713385156, 1.462034597508243, 1.4385443638107493, 1.4156542205197777, 1.392929681010242, 1.3705906363054317, 1.3491251023241413, 1.3290364450774854, 1.3106760000745419, 1.2941907932412342, 1.2795557308885266, 1.2666371913699348, 1.2552514374850414, 1.245204199294187, 1.23631218614595, 1.2284122334927512, 1.2213634972145615, 1.215046316898793, 1.2093597791798774, 1.2042189898752673, 1.1995524995298263]"
1951,3,Les Paul & Mary Ford,How High the Moon,"[1.0272091605654399, 1.0288155264279677, 1.0321904430350684, 1.0358913027777803, 1.0399152095966346, 1.0442453230225417, 1.0488477309687618, 1.0536708720435133, 1.0586512483225958, 1.0637311542890695, 1.0688953311192884, 1.074232154300503, 1.080020022532617, 1.0868316337231863, 1.0956387580361797, 1.1078860012676828, 1.1254822499434813, 1.1506481643753155, 1.185632694765078, 1.2332917541386161, 1.3263111614096292, 1.822752175571858, 2.3764459379327603, 2.4992716398528456, 2.5111215037571015, 2.536075270923345, 2.5597629210593893, 2.5779705118930156, 2.590796419622455, 2.59948666570674, 2.6052815737563892, 2.6091462866947333, 2.611757038711856, 2.613558720547908, 2.6148329582239973, 2.61575506238638, 2.6164345952330486, 2.6169415408883077, 2.617322176738785, 2.6176083751183024, 2.6178229842111826, 2.6179148066188156]","[0.3346152964409619, 0.34989536196256843, 0.38113551956934266, 0.41359093237033484, 0.4469210648138642, 0.4806812384344896, 0.5143268144468713, 0.5472420812030538, 0.578809862774885, 0.6085367145601568, 0.6362355609691388, 0.6622381066426231, 0.6875689870060784, 0.7139804637813341, 0.7437372812276859, 0.7790601077426618, 0.8211959153964017, 0.8692357507808623, 0.9191022280391627, 0.9638379192806066, 0.999910692463239, 0.910817726024709, 0.7158520893119027, 0.6259830255463403, 0.6057481495338468, 0.5567554099323226, 0.4995919247386782, 0.4470267435758508, 0.40381823812612616, 0.3703265035964485, 0.34517020295353795, 0.32650396492589984, 0.3126148755822378, 0.30214595559398205, 0.2941165586350145, 0.28785401349365713, 0.28290623409085924, 0.2789672673529431, 0.2758238999250686, 0.27332084708273285, 0.27133933946033295, 0.27046590680236093]",1.5907056460533757,1.3263111614096292,0.6239379654101597,left,"[2.5449613972990517, 2.541220196821115, 2.5370844689842267, 2.532490119301436, 2.5273586862260977, 2.5215931616773233, 2.5150723539492765, 2.5076432504611663, 2.4991106572653212, 2.48922316870695, 2.477654203656457, 2.463976196498995, 2.447624234221178, 2.4278400713769295, 2.403571254097707, 2.3732471839165328, 2.33415273544807, 2.280202562769783, 2.1925777208008443, 1.9881104599923614, 1.457104852273165, 1.326677322310349, 1.2827132644551205, 1.2519688677729646, 1.2272386532036677, 1.2069374440406762, 1.190236324745418, 1.1764600770336018, 1.1650103069562883, 1.1553710315487982, 1.1471176154986737, 1.139916007311028, 1.1335137399544328, 1.1277264308275146, 1.12242300045342, 1.1175118709952385, 1.112929417294109, 1.1086310773015788, 1.1045849364143983, 1.1007673178936006, 1.0971598601703645, 1.0937476309213436]"
1951,4,Rosemary Clooney,Come on-a My House,"[0.9989527726938252, 1.000150558482384, 1.0027721940830807, 1.0058815787745825, 1.0095503094212621, 1.0138479804536051, 1.018836541129337, 1.024565674111994, 1.0310732022759148, 1.0383962716662474, 1.0465988565902922, 1.0558172708294429, 1.0663183043470603, 1.0785582290471105, 1.093229819467726, 1.111288913231166, 1.1339577478154135, 1.1627143237230095, 1.1993585168227339, 1.2467948167000693, 1.3202850211067378, 1.707364047874889, 2.2077543485577538, 2.507039071427045, 2.6979576113601396, 2.761607464762981, 2.7621552422922027, 2.763325352358883, 2.7646504698645815, 2.7646608632303815, 2.7661426891267062, 2.7678156549858426, 2.76968716062268, 2.7717827817143093, 2.7741384665258804, 2.776795689027807, 2.7797753798489984, 2.7830096271522433, 2.784123466768822, 2.7862129394063935, 2.788689175581281, 2.789025646888495]","[0.18934063953787295, 0.20073421167294292, 0.22497716016145475, 0.2522152488997076, 0.28256626867998946, 0.3160282671037171, 0.3524422207930531, 0.39147508941577236, 0.43264540630404635, 0.47541017634345817, 0.5193115082950843, 0.5641441577573341, 0.6100686470320769, 0.6575876961318445, 0.7073392312683824, 0.7597154736213767, 0.8143606288739815, 0.8696308911286676, 0.9221728602561732, 0.9669036353555156, 0.9979464465472353, 0.9262674369291406, 0.7262167208690784, 0.4392396527756519, 0.1812694164448061, 0.17026603737125967, 0.16505547062988413, 0.15422873220900257, 0.14261317665427597, 0.05999039265427353, 0.1302598094380336, 0.11722546548169177, 0.10355699557954523, 0.08927462542901665, 0.07437037803160962, 0.05885520897615315, 0.04290597076497704, 0.02715189491540393, 0.015169074490040124, 0.013058287426268578, 0.0032478765124377418, 0.0017241064587363297]",1.7900728741946696,1.3202850211067378,0.6409841710411082,left,"[2.678634068500107, 2.6743790225379085, 2.6696047524144753, 2.664213727701225, 2.6580840593902195, 2.6510616036463244, 2.642948666894271, 2.633487447057234, 2.6223352085230642, 2.6090264001931214, 2.5929141646173988, 2.573079246581357, 2.548185820491552, 2.516243595161347, 2.47418478815625, 2.4170501218060187, 2.3364342643284397, 2.2184154124206685, 2.0472155867030795, 1.8335838670788276, 1.4050605392843656, 1.3287045902630727, 1.2920265150475314, 1.2631767714126718, 1.2390733732047898, 1.2185267946617109, 1.2008495094268348, 1.185530523452313, 1.1721509254377396, 1.1603605718275596, 1.149870373629176, 1.140447562113633, 1.1319101097963267, 1.1241193556420512, 1.1169713086821915, 1.1103878133620433, 1.1043087580302102, 1.098686015433748, 1.0934792210463309, 1.088653103362487, 1.0841759362295873, 1.080018708740038]"
1951,5,Mario Lanza,Be My Love,"[1.1151546428702221, 1.1160608738996867, 1.1180835908164535, 1.120579876667144, 1.1236662556731012, 1.1274793997744588, 1.1321734068407938, 1.137914878715142, 1.1448780526358953, 1.153243586865828, 1.1632030153554895, 1.174965391591125, 1.188756629431688, 1.2048019827783745, 1.2232916666586144, 1.2443461020843303, 1.268014646358073, 1.2943580753352673, 1.3237002530531654, 1.3573873812779615, 1.409954752032406, 1.8301463717551039, 2.716518301108941, 3.402375048754735, 3.488613463688023, 3.4890227326814274, 3.4899021063711215, 3.4909178465822954, 3.4921047007191097, 3.493510572715777, 3.49520264697236, 3.4972766846864554, 3.499871332463534, 3.5031905418929763, 3.5075393566071504, 3.5133811172686014, 3.5214216850272293, 3.5326858905133034, 3.5483758578191367, 3.568940159224429, 3.5913688555084726, 3.5950088058662844]","[0.16717881774603072, 0.17579906412386315, 0.19449491485052306, 0.21634929937461322, 0.24186395964860452, 0.2715275267771986, 0.30575663288483135, 0.3448284925488556, 0.3888254212689608, 0.43761214697538886, 0.49084648322779234, 0.5479906844727767, 0.6082759818224082, 0.6706038110998511, 0.7334313226362594, 0.79473650570631, 0.8521446297089423, 0.9032140642066833, 0.9457548124855859, 0.9779595834017261, 0.9996579861144725, 0.9139377523140785, 0.4535789206659808, -0.13866119099879626, 0.035597501267311316, 0.031704454744684085, 0.023568999987244155, 0.014668727600980702, 0.00484983551692153, -0.006092717931995395, -0.018434049685748022, -0.03254474725752132, -0.04892509557251401, -0.06825140746686387, -0.09143859428805712, -0.11971877112383922, -0.15469874691907215, -0.19819044666165375, -0.2511526660017793, -0.3107652820386644, -0.3655902720567088, -0.3771543824360206]",2.4798541629960624,1.409954752032406,0.7622439951823472,left,"[3.392173213814754, 3.3872275599750994, 3.3817029955588973, 3.3754933261012674, 3.3684648317984847, 3.36044669711832, 3.351217143396099, 3.3404828526954984, 3.327847616789642, 3.3127631170836658, 3.294448964389006, 3.2717575929734575, 3.2429355166526297, 3.205180501759118, 3.1537815554647293, 3.0803821904645634, 2.9692666204604166, 2.7883898104394724, 2.4686728721357216, 1.9697428260191157, 1.4772911562428261, 1.4113570089630687, 1.3875092839622694, 1.368181306814985, 1.3510469805856387, 1.3353709817128883, 1.3208534045028875, 1.3073633264425635, 1.2948369410777487, 1.2832312455804014, 1.2725042438891048, 1.2626091781538729, 1.2534953345789108, 1.2451106835477856, 1.2374038854021676, 1.2303250552950071, 1.223825759136184, 1.217858915231911, 1.2123789587404037, 1.2073422624140984, 1.2027076389533318, 1.198436761095619]"
