year,position,artist,title,alpha,f_alpha,alpha_width,alpha_peak,spectrum_skew,truncation,H_q
1950,1,Gordon Jenkins & The Weavers,Goodnight Irene,"[1.0346659453465945, 1.0355144760205628, 1.037375444182461, 1.0396001936479176, 1.0422675359470484, 1.0454706821528197, 1.0493187285432326, 1.0539391330564116, 1.0594828409485302, 1.0661344043390086, 1.0741293073350384, 1.0837789739952604, 1.0955001783945666, 1.1098399762443643, 1.1274808763323856, 1.1492074135273656, 1.1758238729316006, 1.2080463678160658, 1.2464552102489863, 1.2916871769816558, 1.3483625103061714, 1.6386287988695316, 1.9181788456604927, 1.939707642426821, 1.9821170588768156, 2.0661124210112547, 2.1400656576218733, 2.1960386110668835, 2.2353392349899335, 2.2605675057748154, 2.2753944420457026, 2.2829190985211647, 2.2834013297644287, 2.2834077922815608, 2.284413890933885, 2.2854669345604988, 2.286535700747777, 2.287276951560852, 2.287560655528019, 2.2884324403060408, 2.2887743235380067, 2.288953960512392]","[0.20246265976354927, 0.21053404910129636, 0.22774206942767883, 0.24722770510251912, 0.2692879294504138, 0.2942166106753241, 0.3222872392339369, 0.35373864968962554, 0.388771246108365, 0.4275596426330903, 0.4702790626153366, 0.5171270659142859, 0.5683043003355506, 0.6239075174591129, 0.6836965599918523, 0.7467381053774318, 0.8110119546681602, 0.8731621340695885, 0.9285843122595723, 0.9718347675399426, 0.9975684993297852, 0.9425078678838928, 0.8638163403518526, 0.848070299439359, 0.775657241461869, 0.6119714356686456, 0.4338394030087276, 0.2721598443806714, 0.13988529404754502, 0.04294308478490727, -0.021123450079304718, -0.039445328688199055, -0.05954534416590285, -0.04409387909196738, -0.053411693154600925, -0.06265348259736925, -0.07151703421920885, -0.0799698325118694, -0.07952675448571966, -0.0859329528315591, -0.08852640688632896, -0.08955269928820186]",1.2542880151657976,1.3483625103061714,0.4998013834675588,left,"[2.1789745656523447, 2.173644076787277, 2.167684487097835, 2.160984669456236, 2.1534078267993295, 2.1447845363863594, 2.134903988353993, 2.123503365435295, 2.1102559928086486, 2.094760590113084, 2.0765377149510855, 2.0550467501864844, 2.0297478968111755, 2.0002412153629296, 1.9664890235254031, 1.9290421623796719, 1.88934385281586, 1.8507163003044818, 1.8151252879670952, 1.7320611774746915, 1.4029110571934922, 1.358331663054052, 1.3301796613437342, 1.305016074196137, 1.282337117861021, 1.2619184269161052, 1.2436050287957772, 1.227238115104186, 1.2126385881388735, 1.1996150236077574, 1.187977870297967, 1.1775510141577583, 1.1681781202174577, 1.1597243565867583, 1.1520751158813203, 1.1451332912722278, 1.1388162271925348, 1.1330529750153302, 1.127782091050194, 1.1229499716242586, 1.1185096144483753, 1.1144196793702394]"
1950,2,Nat King Cole,Mona Lisa,"[1.1684213850652863, 1.1692263985653764, 1.1710033980477832, 1.1731587131404955, 1.1757929725245404, 1.179032647618646, 1.1830331966116703, 1.1879785288617624, 1.1940721199202038, 1.201512446217802, 1.2104439443446136, 1.2208794108785552, 1.2326100678669079, 1.2451636954871785, 1.2579214852192258, 1.2704772454176863, 1.2831138180541235, 1.2970252207506536, 1.3141214448899488, 1.3369725048180583, 1.3733763419975165, 1.6533344936815844, 1.9186503169662341, 1.9496210661711781, 2.0355852902874454, 2.1559051451443847, 2.24868658743407, 2.302977032308586, 2.3294714936906553, 2.332883187952791, 2.333350558634143, 2.3343506271177525, 2.335488057343891, 2.336774304126397, 2.338214254641983, 2.3397985617379695, 2.340855583770948, 2.3414890429887594, 2.3431905090936493, 2.3446951612128326, 2.3449148258214896, 2.3455693421456223]","[0.36634822077952833, 0.37400566626818943, 0.3904346925728799, 0.4093078633556999, 0.43108767259820624, 0.456290547833472, 0.48545967233069476, 0.5191054233301156, 0.5575948946998919, 0.6009723656283299, 0.6487094357006233, 0.6994353707652952, 0.7507986957042281, 0.7997248578586538, 0.8433018508411099, 0.8800858842400641, 0.9108516157942637, 0.9377400593318983, 0.96223789505408, 0.9836490224439457, 0.9989840259857912, 0.9420035004571934, 0.873132972773625, 0.839523117698814, 0.7037032614495544, 0.47057194348081666, 0.24935329823367347, 0.09476492787694735, 0.0067650508310634905, 0.03646841355554642, 0.032022692440246914, 0.022769698475308076, 0.012800075665701627, 0.0021523662338829297, -0.009067510522314137, -0.02064355396073836, -0.03644422561863081, -0.03217885533863907, -0.042975409788828856, -0.05182436352723485, -0.053695180916419005, -0.056627629927406886]",1.177147957080336,1.3733763419975165,0.6517770672761015,left,"[2.2365300293083457, 2.2315888416855536, 2.226062945056908, 2.219844637636159, 2.212799295082728, 2.2047569387341928, 2.195500679971106, 2.1847507723632624, 2.1721425418882814, 2.1571960355405864, 2.139275376302652, 2.1175384973079465, 2.09088962347469, 2.057987274251146, 2.0174798172543924, 1.9689000895029845, 1.91472125273009, 1.8620400577078988, 1.8180300226842054, 1.7452653797568551, 1.4155488455560776, 1.3775418354557722, 1.3593188408113326, 1.3450863709456031, 1.3334917574276848, 1.3237258597478478, 1.3151725067463897, 1.3073416707231835, 1.29990556767248, 1.292711558902947, 1.285738094029202, 1.2790292449935394, 1.2726434593014475, 1.2666265571894215, 1.2610032608745967, 1.2557785532821581, 1.2509426074213157, 1.246476019262339, 1.2423540777188278, 1.2385498240059234, 1.2350360592910283, 1.2317865629873335]"
1950,3,Anton Karas,Third Man Theme,"[0.9271325897901527, 0.9282158183964379, 0.9305160480222266, 0.9330946650188383, 0.9359698092838423, 0.9391502263900856, 0.9426312480806397, 0.9463939498527143, 0.9504127429010671, 0.9546787517326711, 0.9592466381718641, 0.9643092862104186, 0.9702973822366772, 0.9779918979414703, 0.9886319276316946, 1.0039983771601173, 1.026437952559215, 1.0587330983453167, 1.1036622257393736, 1.1633722766533603, 1.241471111944342, 1.3828757374164298, 1.83672907552028, 2.5490477714060322, 2.9901735276924284, 3.054570392499278, 3.0558325445025503, 3.0585235515875415, 3.06156856651138, 3.065007630167398, 3.0688758684199966, 3.073197237807123, 3.0779760673086867, 3.0831862107735897, 3.088756844932795, 3.090614878395404, 3.0945513361485846, 3.1003307335569916, 3.1056878226938642, 3.1087247744185347, 3.109928955040276, 3.1118246190229018]","[0.3349789426142795, 0.345282824478943, 0.36656939847083514, 0.3891756416221561, 0.41298124959760685, 0.43776661224866764, 0.46320158948348755, 0.4888653001152994, 0.5143206571905568, 0.539261791684182, 0.5637293976815698, 0.5883475723753948, 0.6144887248171909, 0.6442479528804723, 0.6801294938304592, 0.724401950481941, 0.7781099871137234, 0.8397437431387182, 0.9037933893198693, 0.9601422905778298, 0.9956590209932655, 0.9827988467731631, 0.6980601456665669, 0.0034215742042373876, -0.5762901913241683, -0.44620664674834387, -0.458212482877034, -0.4831128648651344, -0.5098038971816727, -0.5382725362872414, -0.5684094127405004, -0.5999729203268593, -0.6325535218973677, -0.6655435647580639, -0.6981141217056859, -0.7550176789076559, -0.7291899475658017, -0.7574023774917631, -0.7810040599812638, -0.7963629501474037, -0.7977442503690213, -0.8045998847771525]",2.184692029232749,1.241471111944342,0.7122353924964123,left,"[2.9099497278244435, 2.9025332834821445, 2.894178612507891, 2.8847058242700983, 2.8738889211135286, 2.86144107512206, 2.8469941697609116, 2.8300697917613085, 2.810037066153267, 2.7860495449765637, 2.756947584480976, 2.721101799466664, 2.6761515494042656, 2.618545526606077, 2.5426815784393386, 2.4391713111817754, 2.2911068246708055, 2.0669178442025586, 1.7318534622535062, 1.4240779412645883, 1.312351009186398, 1.2592691258719533, 1.2178444795303263, 1.1825516464970807, 1.1525974773640675, 1.1275211806518521, 1.1067212865259393, 1.0895141641928574, 1.0752307908208079, 1.063273630957237, 1.0531395469083598, 1.0444232795768909, 1.0368103453889692, 1.0300641551218157, 1.0240107005759467, 1.0185234371536638, 1.0135101260604231, 1.0089024419095942, 1.0046483755716715, 1.000707006570053, 0.9970450599255745, 0.9936346955287246]"
1950,4,Gary & Bing Crosby,Sam's Song,"[0.8758996777349576, 0.8762115722159814, 0.876941515008005, 0.8779224775445165, 0.8792487774335821, 0.8810567145395631, 0.8835450432696779, 0.8870053329696539, 0.8918656631086116, 0.8987495960844484, 0.9085454529411519, 0.9224624766317395, 0.9420155637649545, 0.9688400563031133, 1.0042436226394964, 1.0485420562379295, 1.100528440768584, 1.157641860956493, 1.21704828971605, 1.2770934757000232, 1.3409659562027585, 1.65374800557061, 1.9055974030808616, 1.907051377499055, 1.9991442100930295, 2.125369175755689, 2.229045253250929, 2.29147507230756, 2.3235067978534527, 2.3311667699189837, 2.3319854161830693, 2.3337223467996377, 2.335660567209243, 2.337795734954505, 2.3390124971995148, 2.3401003367729842, 2.34250704170371, 2.344882528546619, 2.346015363092949, 2.346986851892721, 2.348410124894913, 2.3484690568724433]","[-0.12777999043054677, -0.12481318926958807, -0.1180737570093644, -0.10949576057036392, -0.09854607159714757, -0.08450391998433471, -0.06639400875063206, -0.04290245351289368, -0.01228262953764414, 0.02772178360810784, 0.07986647250789058, 0.14716767576063106, 0.23222256489008597, 0.3359179302980637, 0.4557012808709837, 0.5842926289879458, 0.7102761827137956, 0.821279012195888, 0.9080939694184209, 0.966640124212673, 0.9968984597653991, 0.9370877808322738, 0.8889067175305443, 0.8738879589783215, 0.7306111684055718, 0.48450043362861184, 0.23694979960404616, 0.05897059333754928, -0.04773407669139651, -0.015765281898321604, -0.023552404898161683, -0.03962648424967341, -0.05662021182068955, -0.07430323809090922, -0.10688533860870741, -0.09227229168825701, -0.10987550711551108, -0.12611277891046768, -0.13691455039046474, -0.13950897104158777, -0.14795473242148383, -0.14848931167157353]",1.4725693791374859,1.3409659562027585,0.3683607916114623,left,"[2.2295902417291513, 2.224381189001468, 2.218520493139539, 2.2118850566816763, 2.2043216962826047, 2.1956385175496984, 2.1855936079391034, 2.1738802176750296, 2.1601073806419007, 2.143774716071953, 2.124240191260374, 2.1006811706402697, 2.0720577978880033, 2.037126150224471, 1.9946888748217104, 1.944635633103346, 1.8905304844087236, 1.8413593230162928, 1.8036395038612785, 1.753769917039272, 1.395807906982933, 1.353682271164622, 1.3226853059427035, 1.2924112347929448, 1.26232129667033, 1.2325137353100772, 1.203487530887877, 1.17590706482634, 1.1503558220216425, 1.1271854157620513, 1.1064947150202349, 1.088190570213421, 1.0720687563977858, 1.0578800143527853, 1.0453720018364265, 1.0343110927826982, 1.024491103956846, 1.0157348045108034, 1.0078919809256164, 1.0008361745685022, 0.9944611639084254, 0.9886776767780123]"
1950,5,Gary & Bing Crosby,Simple Melody,"[0.9015185714818259, 0.9015345986871325, 0.901622338859146, 0.9018597356283864, 0.9023441341126938, 0.9032241632204598, 0.904722751679257, 0.9071675117189718, 0.911027741873045, 0.9169532012959519, 0.9258024408011536, 0.938639453949202, 0.9566744056956905, 0.9811395929873491, 1.0131246448223121, 1.0534088668517165, 1.1022943754563002, 1.1594432478308003, 1.223877098986324, 1.2945194541663976, 1.3771161145607023, 1.7027782185058795, 2.024726306940467, 2.2302695669215593, 2.5596862040836643, 2.7869865596283283, 2.8215133882029066, 2.822568094130854, 2.8248290610652758, 2.827416451076297, 2.8303788201989692, 2.833767656801982, 2.8376348401451192, 2.842028383252854, 2.8469853815539277, 2.8525195473225233, 2.8585962703048207, 2.8625233098625174, 2.8650755748370154, 2.8715650751548387, 2.876983015473263, 2.8779895624524348]","[-0.03906817451876954, -0.038915720614634, -0.038116100913386575, -0.03605456119220918, -0.03207492275630397, -0.02526557356013104, -0.014391989619374712, 0.0021648565118228547, 0.02643820428393351, 0.06082626648422185, 0.10789442749903255, 0.16995693927265076, 0.2484240508647222, 0.3430403277014724, 0.4512810893556285, 0.5681384301033994, 0.6863212024833154, 0.7968659182185023, 0.8903478139828569, 0.958564460567011, 0.9966425545425355, 0.9395712598932906, 0.8405005639672707, 0.6103848237127942, 0.1276844078506869, -0.2902947825585471, -0.1604513066158404, -0.17048387519875874, -0.19140221384009592, -0.2140781095471027, -0.23859528980497302, -0.2649895373487894, -0.29322453976848806, -0.3231623050429633, -0.35452641968340615, -0.3868512725567914, -0.4193960115963673, -0.46304894370753935, -0.45096625175302485, -0.47949037759126867, -0.5008612787810751, -0.5051464986016239]",1.9764709909706089,1.3771161145607023,0.5187406794720332,left,"[2.7054682575413223, 2.6995172251997026, 2.6928088157478594, 2.6851958725293508, 2.6764927387383515, 2.6664625889590776, 2.654799646591643, 2.641103736931515, 2.6248430487258494, 2.6052982335189214, 2.5814760966121963, 2.5519723310376787, 2.514746807618121, 2.4667475992731025, 2.4032895128934606, 2.317205067207889, 2.199185603129435, 2.0487585001104947, 1.9107851223660504, 1.806743744362404, 1.4550203840683713, 1.390881640936307, 1.351148024724816, 1.3137918915203812, 1.2784217814456775, 1.245192494325012, 1.214375451994995, 1.1861821474101524, 1.1607085700822801, 1.13793684048714, 1.1177540091587879, 1.099975433527533, 1.0843711277052863, 1.07069187637048, 1.0586906261005098, 1.0481367915909616, 1.0388238035945416, 1.0305716245157497, 1.0232261270823308, 1.0166568257171158, 1.0107539436748247, 1.0054253889337028]"
1951,1,Nat King Cole,Too Young,"[1.1305316064620823, 1.1314059751823982, 1.1333327299524105, 1.135657979954828, 1.1384769029024349, 1.1419071316214835, 1.1460926263677247, 1.151207292585062, 1.1574577746590178, 1.1650846038275877, 1.1743605414456764, 1.185584624333541, 1.1990704794963185, 1.215128550200662, 1.234044013832009, 1.2560541120846056, 1.2813294305306175, 1.3099675432687319, 1.3420321516427063, 1.3777765596528464, 1.420561771589565, 1.68329775746503, 1.9605646672679689, 1.973146396527297, 1.9745090105338146, 2.024503535476258, 2.0751075885538897, 2.112763159754916, 2.13843167540479, 2.1561591266098756, 2.1686387728701466, 2.1774870931547405, 2.1837697408519223, 2.1882240678568765, 2.191368582308248, 2.1935703741636376, 2.1950907391488674, 2.1961168486260645, 2.1967837603359133, 2.1971896662116466, 2.1974064554852824, 2.197475183678482]","[0.18154313034133374, 0.18986029621751044, 0.20767460449338593, 0.22803765868460601, 0.25134745994716035, 0.2780375107472324, 0.3085613368665783, 0.34336588269883794, 0.3828509398304014, 0.4273122453510121, 0.47686689573140395, 0.5313620356157598, 0.5902730611978395, 0.6526065011420847, 0.7168311658762176, 0.7808608999832498, 0.842101688631796, 0.8975670687815263, 0.9440690194886012, 0.9784659669884141, 0.9980951785099252, 0.9456902718505362, 0.8592988995993516, 0.8514221357574248, 0.861058899623182, 0.7499854409626785, 0.6279722439289674, 0.519507659667064, 0.43303589808521536, 0.3646156172439401, 0.31034686222632857, 0.26755007763392413, 0.2340983299232935, 0.20821013208156636, 0.18840286375232296, 0.17346261376679095, 0.16240781627973178, 0.1544498827133367, 0.14895627880709128, 0.14541900373111005, 0.14342908677722832, 0.14277533079313542]",1.0669435772163998,1.420561771589565,0.45633457790869053,left,"[2.1117527167577954, 2.107356692813145, 2.1024928531115807, 2.097090067281887, 2.0910636522359036, 2.0843124180761867, 2.07671508852377, 2.0681260542113784, 2.0583705295182533, 2.047239443142596, 2.034484965454697, 2.019818885245302, 2.0029193637098848, 1.9834614875480823, 1.9612232678037596, 1.9364426976546867, 1.9106080141370343, 1.886122218899503, 1.8605773082248238, 1.7682731633870832, 1.4606278720522292, 1.4283715396988717, 1.4072064047686805, 1.3878955556620534, 1.3699639744109808, 1.3532608834872437, 1.3377332311817578, 1.323351107671048, 1.3100827732218254, 1.2978869765015455, 1.286711764016456, 1.276496052279069, 1.2671724209606683, 1.2586702205268319, 1.2509183992863497, 1.2438477477072774, 1.2373924931033011, 1.2314913093938484, 1.2260878542232028, 1.2211309494544949, 1.216574508144147, 1.2123772934279489]"
1951,2,Tony Bennett,Because of You,"[1.1092044025779808, 1.1100168017752148, 1.1118293890519613, 1.1140702585626985, 1.1168613317761735, 1.1203617360323948, 1.124775748418477, 1.1303584544297667, 1.1374154461930923, 1.1462913051063148, 1.1573402111669837, 1.1708729285198016, 1.1870848680078367, 1.2059965121648786, 1.2274605468304003, 1.2512639677560822, 1.2772883481717494, 1.3056799689369596, 1.3370542999975077, 1.3728581392163128, 1.4202883436808533, 1.7077100450168334, 1.9703425450553929, 1.976204947597503, 2.0145793431313486, 2.0858450402640965, 2.1485018749425833, 2.1936874905528554, 2.2220122410946233, 2.2379301879259494, 2.2447822742818904, 2.2450695828636618, 2.245691326375783, 2.246003920922098, 2.24640943234857, 2.247223658626758, 2.2481203751913985, 2.249059912539836, 2.2495704925144318, 2.2499533742968736, 2.2506202114834553, 2.2507110981082943]","[0.10725111575504265, 0.11497881543604827, 0.13173260266387565, 0.151349873160175, 0.17441981923508365, 0.2016425791149299, 0.23381486793062045, 0.2717809806450209, 0.3163327382746548, 0.3680452568923158, 0.4270457870806572, 0.49273951764815127, 0.5635799421308478, 0.6370569597526154, 0.7100507717214559, 0.7794467524758684, 0.8426517219104506, 0.8977417597755784, 0.943236171224995, 0.9775056219902738, 0.9984677323368427, 0.9421077956628718, 0.8764004643417944, 0.8709018169435803, 0.8065936408385661, 0.6676668774645655, 0.516816796596471, 0.386856020137758, 0.29195996005025293, 0.2310445925339728, 0.21977900329184408, 0.21704606800182447, 0.21129506138913356, 0.19630870897788277, 0.20500174946028693, 0.19826106427368373, 0.19127098525530428, 0.18439808141079794, 0.1793003329306746, 0.17828339373296487, 0.17401239345503328, 0.17338217509662357]",1.1415066955303135,1.4202883436808533,0.45495906012473936,left,"[2.166760174611075, 2.1627590412946227, 2.158294292637822, 2.1532810658567754, 2.1476136696425794, 2.141159440983229, 2.1337506757737765, 2.1251741859378055, 2.1151582440100807, 2.10335748584291, 2.089338652753278, 2.0725758002278516, 2.052476236713555, 2.0284812968416923, 2.00031131228861, 1.968406317310359, 1.9344488399979545, 1.9012984756225089, 1.8703444374912386, 1.8014231796558453, 1.4703520072346083, 1.4265706410997983, 1.4036004558296051, 1.3836006395930118, 1.3655740810684067, 1.3489692304125442, 1.333470178196895, 1.318906072672095, 1.3052009431658302, 1.2923391172586323, 1.280334401027306, 1.2692027003559982, 1.258944107138554, 1.2495368771160489, 1.2409398610725597, 1.2330984739869064, 1.2259509433107425, 1.2194334148409056, 1.2134835591353639, 1.2080428033513697, 1.203057490408861, 1.1984792910024766]"
1951,3,Les Paul & Mary Ford,How High the Moon,"[0.7743897434663863, 0.7754153820549852, 0.7776136292359532, 0.7801213255067533, 0.7829699436371828, 0.7861928515005137, 0.7898289253044597, 0.7939304318853228, 0.7985770471647017, 0.8038972616030079, 0.8100975248847755, 0.8175003727159613, 0.8265982705249358, 0.8381382777546539, 0.8532506439853047, 0.8735984893051358, 0.9014341955813776, 0.9393145392948373, 0.98922610834358, 1.0514624440282283, 1.1250555872161838, 1.2145323008853772, 1.339329251595526, 1.4895635650101453, 1.6270874622231302, 1.7389809980374107, 1.8239883870229943, 1.8829935463544074, 1.9223458497052857, 1.9477433961481458, 1.9635897943288578, 1.9731732893553997, 1.9787734911694044, 1.9811889709101158, 1.9815729007541156, 1.9818773071203786, 1.9823262437557547, 1.9830267902756207, 1.9834247227506951, 1.9836132665707045, 1.9839894822953068, 1.9840051053904035]","[0.21181454300513192, 0.22157061738448647, 0.24190876930473415, 0.26388793678345124, 0.28746710109102036, 0.31257373637571995, 0.33912614982379274, 0.3670759231088008, 0.39646982612367143, 0.427520690090331, 0.4606676041419089, 0.4966085350350098, 0.5363076205339761, 0.5809890635267885, 0.6320736897787733, 0.69086998839945, 0.7576940179846237, 0.830224909139176, 0.901713759122392, 0.9609785653331134, 0.9955612765885394, 0.9930036179903529, 0.926070023305307, 0.7793527599944416, 0.5813455792236626, 0.3660207335570149, 0.16223923055503242, -0.007670381608501309, -0.14003913600806595, -0.23775287748411866, -0.3063915170023179, -0.35254364934496607, -0.3822186016916813, -0.38887515711832066, -0.3925271727075881, -0.40015331687385647, -0.3995129167926237, -0.40567339350252496, -0.40982055020166896, -0.4105553409323335, -0.4135244563782816, -0.4136939235346979]",1.2096153619240173,1.1250555872161838,0.42020272759759336,left,"[1.842301455198284, 1.8351790184951131, 1.8272450827057616, 1.818362192751039, 1.8083624514851722, 1.7970394735485018, 1.7841380334423946, 1.769340861423775, 1.752252163153066, 1.7323780013026264, 1.7091052435309062, 1.6816842564494106, 1.6492265256960936, 1.6107351525297475, 1.5651898106163418, 1.51173210022987, 1.450168221102273, 1.3818755871969897, 1.3086328282055872, 1.2382916167794455, 1.1858471346458241, 1.1432543532031718, 1.1047917380729733, 1.0698208258632185, 1.0387542353704629, 1.011818031832827, 0.9888196754471591, 0.969288941824307, 0.9526679337239983, 0.9384299620432122, 0.9261269519978802, 0.9153957545523075, 0.9059479211956011, 0.8975559956804195, 0.8900411250428752, 0.8832628144673027, 0.8771105186250152, 0.8714967583501165, 0.8663515957692632, 0.8616183331778611, 0.8572502658684109, 0.8532082891658732]"
1951,4,Rosemary Clooney,Come on-a My House,"[0.9291758815493789, 0.9308503446681715, 0.9344207575651614, 0.9384511844719348, 0.9429712157785712, 0.9479977833271375, 0.9535257803313182, 0.9595139714456465, 0.965865430823381, 0.972403986369763, 0.9788538959586357, 0.9848430075375845, 0.9899757758175263, 0.994060175826486, 0.9975785214284979, 1.0023445174327028, 1.01190276048978, 1.030940255847732, 1.063565340468329, 1.1117618995906577, 1.1778681010821503, 1.4865215535667442, 1.817664315731751, 1.9393825303550014, 2.0988950837129123, 2.2596957703205387, 2.3551136138368935, 2.4035123377172285, 2.405431950187979, 2.4064804836680924, 2.4087124221500735, 2.4112242034464337, 2.414031119193772, 2.417134517925146, 2.4205113351504335, 2.4240977960345336, 2.425390018400744, 2.4277627910804176, 2.431260428928254, 2.433759337377361, 2.43413678967338, 2.435533105993955]","[0.3686342628475092, 0.38456208275797543, 0.4175996933497341, 0.45293063025057734, 0.4903525783911036, 0.5295220179915159, 0.5699107838115776, 0.6107534978004105, 0.650994692777159, 0.6892598833529995, 0.7239000561981044, 0.7531967225100971, 0.7758582034949191, 0.7919256487182178, 0.8039492505628387, 0.8175844633710083, 0.8400424543600011, 0.8757315709645479, 0.921618766878185, 0.9666987099184905, 0.9965185222691959, 0.9397877713794398, 0.8295002700715308, 0.7105843969205994, 0.4680996560776003, 0.16307977588201616, -0.06243719390612856, -0.19983339535982303, -0.09558152945603382, -0.1055553845107724, -0.12620874811894822, -0.148228054308305, -0.17146829144273212, -0.19565425231548517, -0.22033167136192588, -0.24480444203612706, -0.27232772389061566, -0.26804685228534275, -0.28856067050907797, -0.30390370547889134, -0.30410649175938254, -0.31116708690635697]",1.506357224444576,1.1778681010821503,0.6698097695591836,left,"[2.2958737972423755, 2.290255430424652, 2.2839163176287847, 2.276717488513175, 2.268485058741796, 2.2589996006834205, 2.2479816850613337, 2.2350719363179365, 2.2198031073056215, 2.201560483315766, 2.1795255222346435, 2.1525970503983727, 2.11928844370304, 2.077620440537309, 2.0251033437960535, 1.959114296108246, 1.8784321126667904, 1.787353453701221, 1.7020617358298926, 1.5846480181628435, 1.2396514162224472, 1.1921421597784474, 1.1572736627020541, 1.1278379516282173, 1.1037260499970682, 1.0847723090591128, 1.0703357629035088, 1.0594099116356026, 1.0509338318435064, 1.0440335032099282, 1.038100556890669, 1.032759123081863, 1.0277967897720544, 1.023102301207927, 1.0186217736315102, 1.0143314971027848, 1.0102222906250338, 1.0062910469481614, 1.002536453499724, 0.9989570077615423, 0.9955502282756665, 0.992312455264628]"
1951,5,Mario Lanza,Be My Love,"[1.1130534494489153, 1.1146218738075047, 1.1179472620117268, 1.121664888051399, 1.1258015148138911, 1.1303739672070192, 1.1353826641252143, 1.1408039909147147, 1.1465833220870636, 1.152632781949653, 1.1588408926593412, 1.1651040063581608, 1.171389259133521, 1.1778317869688892, 1.1848530455854578, 1.1932709232442384, 1.2043821424200352, 1.220053886350982, 1.2429009560990105, 1.2763860111087373, 1.3419413011152228, 1.806337623832519, 2.077965455716361, 2.085321158688916, 2.088611140505164, 2.103952923406123, 2.1190602969824237, 2.131950121666967, 2.142224650488666, 2.150182319842372, 2.1562094493231143, 2.1563092566335063, 2.161058420433566, 2.164786883733547, 2.1677578483066644, 2.170160660493068, 2.172131122981481, 2.173767400540756, 2.1751413834820235, 2.1763065238732766, 2.1768426112915416, 2.2207550338839934]","[0.39707655899739436, 0.41199571753031705, 0.442770403450659, 0.47536329103109587, 0.5096145123848324, 0.5452481595370013, 0.5818445464338318, 0.6188202150932351, 0.6554303406299873, 0.6908152196037163, 0.7241149312319841, 0.7546653919452782, 0.7822550982701175, 0.8073623968873216, 0.8312305458839342, 0.8556344782275955, 0.8823118586025505, 0.9122017022398863, 0.9445755278997858, 0.9757101542558327, 1.0014000559620124, 0.910410043841728, 0.9906425542507344, 0.9796924658851616, 0.9636893898195646, 0.9186293003942243, 0.8672576299280914, 0.8172822574358989, 0.7724860645913996, 0.7339217583147519, 0.8880467542692738, 0.7012384392459161, 0.6735815710915087, 0.6500434937579005, 0.6298328991110385, 0.6123110007694486, 0.5969775782516926, 0.5834441588876338, 0.5714081811095078, 0.5606319934722137, 0.5555326253472579, 0.8114352004895422]",1.1077015844350782,1.3419413011152228,0.5867337288624732,left,"[2.132395873826267, 2.130116553956253, 2.1276487765238876, 2.1249708591533074, 2.1220586402794184, 2.11888566382064, 2.1154238788706388, 2.11164534019308, 2.1075257980925732, 2.1030517610208217, 2.0982337107514426, 2.093129538111021, 2.0878829014015072, 2.082777382496102, 2.0782898566073786, 2.0750771858015473, 2.0737026193194734, 2.0734267458502256, 2.0644077878239186, 1.963049807886368, 1.4390188035836042, 1.336201071670972, 1.3095821336257658, 1.2883490232211863, 1.2714786036104773, 1.257995629056651, 1.2470798904503164, 1.2380803349605247, 1.2304860651530214, 1.2239042060213163, 1.2180446323068113, 1.2127041679902395, 1.2077483297594251, 1.2030927462237457, 1.1986868471412975, 1.1945011937673276, 1.190518565461803, 1.1867281966085028, 1.183122331102042, 1.1796943254131402, 1.1764377086312405, 1.1733457935491758]"
