year,position,artist,title,alpha,f_alpha,alpha_width,alpha_peak,spectrum_skew,truncation,H_q
1950,1,Gordon Jenkins & The Weavers,Goodnight Irene,"[1.065540385888214, 1.066489274993277, 1.0686694654729887, 1.0714881354923684, 1.075107513927255, 1.0797190447825376, 1.085539293134229, 1.0927991921505167, 1.1017256781804825, 1.112518069170045, 1.1253286442640504, 1.1402681332117737, 1.1574628279123709, 1.177170308570764, 1.1999159530415138, 1.2265900915676702, 1.2584869964799832, 1.2973575436202973, 1.3457056529083091, 1.4082069617272188, 1.5080303322348954, 1.9803355181231836, 2.60842266054035, 2.8142191233914535, 2.8142614187811987, 2.814385736884047, 2.8145705279429456, 2.814712212605423, 2.8151569933877916, 2.81521730530382, 2.8156853068300913, 2.816268546160973, 2.816298608862748, 2.8168836222904035, 2.81719655746721, 2.8179760498335087, 2.820578752734513, 2.8248365457074542, 2.8323401515654227, 2.846576517375018, 2.857797134528635, 2.8715632828421684]","[-0.10299589595789094, -0.09396987764143816, -0.07383211521230137, -0.04916966315679261, -0.01926375446393358, 0.016595142144378627, 0.05902105539542912, 0.108410989057111, 0.16480135349823133, 0.22773784651296847, 0.29622375635510423, 0.36883382631025263, 0.444038165577628, 0.5206170968437291, 0.5978724458977331, 0.6753976311971379, 0.7524665788369669, 0.8273390419331479, 0.8967532790084027, 0.9556172593655412, 0.9973215508626063, 0.9134623631788951, 0.6529419797984084, 0.591481378864362, 0.591241872092521, 0.5903212851311643, 0.5894688212440435, 0.5879156930929774, 0.5844321237316379, 0.5860442980383631, 0.5800427236456827, 0.5749164654783456, 0.5808296390684919, 0.5692131271508956, 0.5662364266885902, 0.5735506709065525, 0.5635340483466571, 0.5492586567686679, 0.5278251315096361, 0.49421617666136175, 0.45615516504265763, 0.4469696724424157]",1.8060228969539545,1.5080303322348954,0.509984123575635,left,"[2.7738202001360692, 2.771595771554985, 2.7691646950383033, 2.7664903116000144, 2.763525833002934, 2.76021073975643, 2.7564656427129353, 2.7521848142560414, 2.7472250858043723, 2.7413888830342756, 2.7343973825398815, 2.7258460572933174, 2.71512650575803, 2.7012780592825996, 2.682679660534496, 2.6563477005826504, 2.6161638867429717, 2.547645519558441, 2.4118443698636143, 2.1341100329315084, 1.6255312071566537, 1.519011973698209, 1.468863373927646, 1.4303679641214189, 1.3984875333451678, 1.371252221676476, 1.3475782472123734, 1.3267407970276135, 1.308201635433478, 1.2915477409201195, 1.2764671496395612, 1.2627325775471017, 1.2501821921829506, 1.2386982562067725, 1.2281886345529553, 1.218574247371427, 1.209782267918281, 1.2017433137242892, 1.1943908674621642, 1.1876616728343519, 1.1814963646940435, 1.1758399754840032]"
1950,2,Nat King Cole,Mona Lisa,"[1.0748972108363104, 1.075952737969984, 1.07823006412359, 1.0808649208912056, 1.083912066816645, 1.0874384063899032, 1.0915296935604608, 1.0963006831064857, 1.1019092046354304, 1.1085740968170636, 1.1165962503291296, 1.126381276581049, 1.1384616077079788, 1.1535150465014408, 1.17237552581994, 1.1960293347096294, 1.2255853900581257, 1.2622021427932162, 1.3069722219601352, 1.3610801209803545, 1.4331442747665433, 1.7642503753199656, 2.0946762668777477, 2.175714967577492, 2.2248526231837173, 2.2251916665913463, 2.2258920926077885, 2.227572454822486, 2.228064696321101, 2.2294774414773353, 2.23138865592585, 2.233200892907604, 2.233661259047189, 2.2347382348259885, 2.2348711743307756, 2.2363892622387627, 2.237760953473377, 2.238998870109599, 2.2401176049069127, 2.2406490221302526, 2.2447531758212893, 2.25136668844524]","[0.130031350680742, 0.14007173073276036, 0.16113810194026534, 0.1842267811857301, 0.20944188631618665, 0.23690157000558365, 0.26676299213660215, 0.29925440415923177, 0.3347073177605866, 0.37357698988095667, 0.41643598319820097, 0.46392455806729505, 0.5166435881855476, 0.5749801369242711, 0.6388618054122168, 0.7074433290130715, 0.7787408331445187, 0.8492564699835818, 0.9137167283763257, 0.9652843361370187, 0.9972785939585928, 0.937256619260227, 0.8362611368561721, 0.7578372546123031, 0.7289136221983465, 0.7276501889032563, 0.7237318669579409, 0.7146701465897181, 0.7168313610541333, 0.703509361377483, 0.6913975897186369, 0.6790373531619416, 0.6780318338349289, 0.694577626471701, 0.6668343890782289, 0.6550044111532713, 0.6436466041125968, 0.6327925266941321, 0.6224373993899164, 0.6173824550703415, 0.6655466223903197, 0.6483054687754874]",1.1764694776089295,1.4331442747665433,0.3909794163834351,left,"[2.202387267637287, 2.200425126381237, 2.1983083122567866, 2.196016698526567, 2.1935261739275025, 2.190807335466929, 2.187823415251189, 2.18452680843868, 2.1808529767432425, 2.176709307040653, 2.171954028537672, 2.1663550363949393, 2.159507300385661, 2.150665268342564, 2.1384127170209095, 2.1200932805304085, 2.0911502908874064, 2.0450799045790764, 1.9771415163595802, 1.870899820581183, 1.5070025142868961, 1.444302039536313, 1.4085248615930956, 1.3777245046915483, 1.3504947818028326, 1.326381232736734, 1.3050731848047572, 1.2862729564207025, 1.2696871424088065, 1.255035801145582, 1.242060714050738, 1.2305301774190047, 1.2202408073165452, 1.2110172045226941, 1.2027101995119356, 1.1951942360514929, 1.1883643277762614, 1.1821329233652402, 1.1764269265237344, 1.1711850312058851, 1.1663554534570528, 1.1618940757682361]"
1950,3,Anton Karas,Third Man Theme,"[0.9445817599713194, 0.9454864065612752, 0.9475135681342585, 0.9500255414078382, 0.953130324974176, 0.9569564192993613, 0.9616537879713181, 0.9673932336827772, 0.9743638566956806, 0.9827693298899188, 0.992826449441174, 1.00477483205926, 1.0189152250373648, 1.035705000205605, 1.05595287417925, 1.081175461344841, 1.1142079880254472, 1.1601312762340146, 1.2271546811458167, 1.3258126906013634, 1.4666974608155667, 1.868206522986236, 2.2578794331663006, 2.3685574146157378, 2.462643686960462, 2.544662171763904, 2.5853033514775334, 2.598786773674109, 2.598974338497463, 2.599398418848083, 2.599931937892979, 2.6006005972394615, 2.6014352137856673, 2.602470341180422, 2.602982317096058, 2.603739417915828, 2.6052627993179738, 2.607021899782234, 2.6089065478880493, 2.609846080007903, 2.610609914178796, 2.611421661011644]","[-0.07625218469587303, -0.06764700981580596, -0.048911821674272105, -0.026920579103212106, -0.0012530731836379871, 0.028512676726686337, 0.06276761077194148, 0.10182571649255401, 0.14586748905362423, 0.194882473764717, 0.24863245013467683, 0.3066710150872787, 0.3684623807706755, 0.433625672186694, 0.5022790977261558, 0.5753736157052756, 0.6547635790135082, 0.7424030817898217, 0.8373066566808536, 0.9290220727042742, 0.9919834414349871, 0.9341794503803598, 0.8047859613448589, 0.704164129056644, 0.5631669733542815, 0.4093841961408877, 0.3140981025069607, 0.31649405940683195, 0.314709906209071, 0.31079134459452007, 0.3061215402955213, 0.3005947682298675, 0.2941029573542373, 0.2865554900657976, 0.26411659358882034, 0.2779190497704853, 0.2682901826559352, 0.25801890134708927, 0.2479108846489506, 0.24155540360905192, 0.23955283647929626, 0.23582054604795033]",1.6668399010403245,1.4666974608155667,0.37352627505691555,left,"[2.530436179614792, 2.5269310209450833, 2.5230266489247732, 2.5186490326133115, 2.5137047957165053, 2.508074637177679, 2.501604048396621, 2.4940900884365313, 2.4852623892735473, 2.474755703935411, 2.4620701015576065, 2.4465134209980124, 2.4271195574114435, 2.4025378903277104, 2.370896011997148, 2.3296490078664918, 2.2756038611169753, 2.2067843427822558, 2.125972000442186, 1.9910869136709408, 1.5983422695457106, 1.4995653509321198, 1.4228158579055223, 1.3605632226675168, 1.3110094711856903, 1.2714823575859602, 1.2394452954910564, 1.2129263895117703, 1.190513983141242, 1.1712272390867902, 1.154387928803584, 1.1395220187005943, 1.126290280218817, 1.1144415884908863, 1.1037826619190931, 1.094159056793216, 1.0854434523774448, 1.0775284340666886, 1.0703219521027858, 1.063744337563029, 1.0577262204137061, 1.0522069784409067]"
1950,4,Gary & Bing Crosby,Sam's Song,"[0.9623939276741451, 0.9633862239141936, 0.9655484222894838, 0.9680884270423628, 0.9710513294229686, 0.9744821546150272, 0.9784274898928916, 0.9829408593279276, 0.9880940331042959, 0.9939966749704826, 1.0008267657252754, 1.0088742828725996, 1.018600820101206, 1.0307180026725153, 1.0462869722943289, 1.066838687800928, 1.0945092564251389, 1.1321796701118911, 1.1836435735511872, 1.2541984844498646, 1.356031575110877, 1.56709059672022, 2.1170741712075802, 2.771888971027498, 3.077416786449359, 3.1385303939894147, 3.139550482622982, 3.141161585847656, 3.1417031773921726, 3.1440876622352385, 3.146714651369664, 3.1495874029628395, 3.152696914304009, 3.1560141913614643, 3.1594776806493035, 3.1599967648205833, 3.1629733546364407, 3.1663047960722692, 3.1681400515129203, 3.169150710356419, 3.171005087963291, 3.171083449223873]","[0.1652930850141221, 0.1747320004682411, 0.19472856933795768, 0.21698222070899398, 0.24149831431759505, 0.2682156754102216, 0.2970183031946725, 0.3277684481808967, 0.36036392710327014, 0.3948163640063207, 0.43133903747042, 0.47042487941105104, 0.5128875723436215, 0.5598302320727995, 0.612494574488947, 0.6719286259507995, 0.7383988230752139, 0.8104820773346009, 0.8838508329233239, 0.9499728228885287, 0.9947307463756184, 0.9730070302967492, 0.6437815508017797, 0.04031006112920421, -0.3569840851525523, -0.32575288515167955, -0.33545616727585426, -0.47221244416201014, -0.35538052916053786, -0.37628837837482365, -0.39804310980187907, -0.4204347001049058, -0.44315936137961387, -0.4657911225750446, -0.487741865492346, -0.5163500764916442, -0.5082093451301191, -0.5261204313047436, -0.5393781362977936, -0.5400863023064435, -0.5483859482032756, -0.5489664470477358]",2.208689521549728,1.356031575110877,0.6435554716078555,left,"[3.005955105474247, 2.999156372729879, 2.9915123619987076, 2.982865309339902, 2.973018386212461, 2.9617234587554164, 2.9486640390744774, 2.933431094970439, 2.915488014708559, 2.8941186452871586, 2.8683479499603903, 2.8368162977534497, 2.797570829867207, 2.747699287030825, 2.6826438700651547, 2.5948117363100613, 2.4704870279516293, 2.2826118222885787, 1.9849432211534452, 1.6302422906366798, 1.4564194209368917, 1.3776355149708415, 1.3225689598355421, 1.2788858905540617, 1.2431830248159106, 1.213683125913097, 1.1891198363101754, 1.168500221878584, 1.151031072572617, 1.1360808761830385, 1.1231510194207412, 1.1118510488858124, 1.1018772361693558, 1.0929943490593597, 1.0850204653449025, 1.0778145573722655, 1.071266533028514, 1.0652894176441159, 1.0598133669021663, 1.0547812024439263, 1.0501451674547118, 1.045864619172733]"
1950,5,Gary & Bing Crosby,Simple Melody,"[0.9518826245842319, 0.9521329980855393, 0.9527099906214845, 0.9534692825755658, 0.9544823576147409, 0.9558482299522596, 0.9577016252112994, 0.9602222651564579, 0.9636453506525402, 0.9682741492990785, 0.974496954783785, 0.9828120886666031, 0.9938659294249959, 1.0085130320198359, 1.0279207368700527, 1.0537615013943655, 1.0885255173657533, 1.135855403063702, 1.2005559138667228, 1.2884992177364476, 1.4191814915240593, 1.8834748528318825, 2.408894884367887, 2.614337884813595, 2.7053607480683497, 2.7456750619142922, 2.7675615960962476, 2.7807728270253413, 2.7864166402170047, 2.7865793908558607, 2.7869398724473973, 2.787378162990046, 2.7879102823642588, 2.7880824265229083, 2.788551311197082, 2.789310481209564, 2.79018153202457, 2.7911252978212415, 2.7915742359901814, 2.7920405632814704, 2.79271876278975, 2.7927782516338913]","[0.1582898984377259, 0.16067150003552655, 0.1660006392629878, 0.17264172620496865, 0.18100680477366726, 0.19161725518892503, 0.205109792493249, 0.22223006776197707, 0.24381118171560345, 0.2707387695338319, 0.3039084698478707, 0.34418073780743974, 0.39233117824588604, 0.44899281422989556, 0.5145996921885931, 0.5893254928934812, 0.6728450781784874, 0.7634019259595561, 0.8556430111776681, 0.9382149716254876, 0.9947646680401669, 0.9205938643218341, 0.7235532696742668, 0.5419023926719491, 0.4178242345229526, 0.342404065626277, 0.2902749484441465, 0.25247118520778855, 0.25474705263598807, 0.25319893680297056, 0.24986641968965984, 0.2460284609340313, 0.2416282027562353, 0.2280877453506065, 0.23663917510111077, 0.23109896328180568, 0.2251629208591268, 0.21918320265937652, 0.2148161719365671, 0.21381346181147265, 0.21012861090825297, 0.20973324797509818]",1.8408956270496595,1.4191814915240593,0.49231356729468534,left,"[2.7118913454806037, 2.7080695354941215, 2.7038169621967922, 2.699055782699461, 2.6936883317976092, 2.6875906859685195, 2.680603782914923, 2.672521086673549, 2.6630713430573794, 2.6518942673435153, 2.638505777300409, 2.622247005144307, 2.602206371574883, 2.577093076918741, 2.545013739283182, 2.503027713243611, 2.4461035806995963, 2.3643720854317936, 2.2386978468045933, 2.031084352922719, 1.5579096965514025, 1.4406463525593747, 1.372938756514948, 1.3189286447010349, 1.2744342750016764, 1.237562759528887, 1.2068310904067951, 1.1810085262567271, 1.1591216627969978, 1.1404213511421644, 1.124330982087103, 1.110400539242058, 1.0982728903821781, 1.0876603168511811, 1.078328069681491, 1.0700826545484607, 1.0627633671692083, 1.0562360576277094, 1.050388394648698, 1.0451261360004507, 1.0403700967997531, 1.0360536347404594]"
1951,1,Nat King Cole,Too Young,"[1.0665648284818805, 1.0672276055536207, 1.0687819828718537, 1.0708522546723602, 1.0735666789205793, 1.0770780812369727, 1.0815654595836812, 1.0872345787551791, 1.0943181420829968, 1.103078531362071, 1.1138210370037815, 1.1269328222665929, 1.1429697854979683, 1.162813818327716, 1.187906184699082, 1.2205088511283928, 1.263825401629735, 1.321648037347175, 1.397245289907571, 1.4922678080863387, 1.6186870682375596, 2.0321442330998933, 2.4158437309232483, 2.4177016758054375, 2.424552614845287, 2.429392097848544, 2.432174301862181, 2.4392234406685565, 2.445391871264171, 2.4473232404462415, 2.4506971748480586, 2.455242349765125, 2.4591399275291694, 2.462490587437485, 2.4653792216593686, 2.4678762104331042, 2.470039899484715, 2.4719190017521284, 2.472281390799452, 2.4735545671607135, 2.4743161718270144, 2.5128718491225643]","[-0.1777251402614155, -0.1714206754326657, -0.15707006203800766, -0.13896208313295588, -0.11653931647459892, -0.08924054154859462, -0.05653681684154055, -0.0179783595050802, 0.02675429027282128, 0.07781314373145243, 0.13519388794423026, 0.19883791196383171, 0.2688465380545786, 0.34575566655952805, 0.4306878358432291, 0.5250275754114595, 0.6291472548903339, 0.7399642840789831, 0.8482667632461727, 0.9385614358982692, 0.9949818488669216, 0.9302201226278641, 0.9229488273768567, 0.9165166827022544, 0.8928996860837337, 0.8926674098097642, 0.8631920761643936, 0.8323487244801857, 0.8023695390384713, 0.7920355422384555, 0.774001855273827, 0.7474815516754738, 0.7228375570490151, 0.700016044006631, 0.6789313428044075, 0.6594865264534882, 0.6415811552941193, 0.6251137160638685, 0.813373928148903, 0.6099822210760024, 0.6027376888843605, 0.7490196224503167]",1.4463070206406838,1.6186870682375596,0.2365075576953219,left,"[2.4345899407154503, 2.432552698094345, 2.430377548667314, 2.428053691962026, 2.425569990992477, 2.422915302481887, 2.4200790626246294, 2.4170522973032793, 2.4138293242399027, 2.410410549049045, 2.4068068765050152, 2.4030460601616492, 2.3991794496430052, 2.3952785290415073, 2.3913723218884564, 2.3871246574909857, 2.3804961400952145, 2.362971834429524, 2.307067939531824, 2.163105148172131, 1.7460467358741365, 1.6392614878831806, 1.5762338456920377, 1.5216665440457093, 1.4739546709580564, 1.4327694299574718, 1.3975440275659397, 1.3674584826254481, 1.3416406028014447, 1.3193067969083347, 1.2998151675796608, 1.2826641350718129, 1.2674683622621166, 1.2539304384782541, 1.2418164777911358, 1.2309379061026575, 1.22113892705469, 1.212288230361363, 1.204273527267935, 1.1969978546112006, 1.1903769586119266, 1.184337342508022]"
1951,2,Tony Bennett,Because of You,"[0.931794255712442, 0.9319955649197699, 0.9324139466563054, 0.9328723581873508, 0.9333941413778202, 0.934018935540092, 0.9348116514250967, 0.9358756670478356, 0.93737242500803, 0.9395517045017616, 0.9428014177909163, 0.9477344211399653, 0.9553431132018777, 0.9672653194142259, 0.9861897659379875, 1.0162953220880644, 1.0631885336761304, 1.1321765554908008, 1.2244515957396171, 1.3351356585035075, 1.4723879002984703, 1.9043111503660182, 2.4276274388642816, 2.6299270914332484, 2.6299702887729683, 2.630024435197609, 2.630211595336637, 2.630230901042776, 2.630456186825104, 2.630737765338878, 2.6308188076642676, 2.631043315650658, 2.631200808675717, 2.6318775374924877, 2.6335719269621283, 2.636061461360976, 2.639473681320252, 2.6410474013917438, 2.6439220545820588, 2.6497904366705245, 2.6592610748313983, 2.6750818074511877]","[0.12668562291611174, 0.12860051537606054, 0.1324743550508085, 0.13649351325690784, 0.14081095796158216, 0.1456718134268753, 0.1514468038201473, 0.1586724510486066, 0.16809934090899858, 0.18075437623911217, 0.19803250344937418, 0.22184473460069487, 0.2548473413475558, 0.3007223546888813, 0.3642852219375121, 0.4507291389589487, 0.562678181509122, 0.6943246219275876, 0.8266458394545162, 0.9328557121796328, 0.9951025603360828, 0.927937047622889, 0.7175353370611455, 0.6308060841166245, 0.6305319815802974, 0.630080438038167, 0.628611144176535, 0.6289114427514839, 0.6265773486708, 0.6241014065840886, 0.6255177416829518, 0.6212671754655581, 0.619769071080853, 0.6199038837441861, 0.6117264768116701, 0.6009028438312907, 0.5877058785269753, 0.5400306814922655, 0.5726500165846584, 0.5556869024537461, 0.5332537457071158, 0.5032668663298097]",1.7432875517387458,1.4723879002984703,0.37979979946871856,left,"[2.593177715783802, 2.591227813584217, 2.5890841374198175, 2.5867123905265403, 2.5840693435525095, 2.581099589905883, 2.5777307102221507, 2.573865885975902, 2.5693723776540196, 2.564063274659924, 2.557668295747305, 2.5497865877478043, 2.539808617814405, 2.526779954784292, 2.5091424444279897, 2.4841828275851023, 2.446632225653529, 2.3841381148729335, 2.2638725602154013, 2.041592399514514, 1.608853045619863, 1.4924674029205307, 1.426899518524676, 1.366602007386914, 1.311214991218928, 1.262412917655308, 1.2210235521124562, 1.1866844267115415, 1.1584012091325984, 1.1350564014651143, 1.1156521363050786, 1.0993760242603243, 1.0855911417808763, 1.0738041330989543, 1.0636328133700843, 1.0547795170919034, 1.0470107279578278, 1.0401418708431995, 1.0340259752058274, 1.028545166772297, 1.0236042286879277, 1.0191256934208308]"
1951,3,Les Paul & Mary Ford,How High the Moon,"[0.9415031959504452, 0.9418479919613727, 0.9426449497582733, 0.9436978359147077, 0.9451057770899346, 0.9470076445590336, 0.9495960780571322, 0.9531337793934653, 0.9579695645947324, 0.9645488395753957, 0.9734104381466955, 0.9851628794276047, 1.0004446808451495, 1.019898644862646, 1.0442127506003323, 1.0742589360853374, 1.1112745349736957, 1.1569465870020426, 1.2133464412640034, 1.2835347416092775, 1.380812114154841, 1.7080634855670176, 2.0562434468046904, 2.1995238529161023, 2.2804098758079654, 2.3007548317312145, 2.3057568317018684, 2.3080706347665423, 2.3096101054069886, 2.3108809326956634, 2.3120751884229236, 2.3132464387060656, 2.3143859916043716, 2.3154662160270494, 2.316462234128927, 2.317359634864353, 2.3181546258536923, 2.3188511890308243, 2.319457828600347, 2.319984994444511, 2.320443399128942, 2.3206567275610035]","[0.05427750421891453, 0.0575572711521275, 0.06491752249534066, 0.07412614177513355, 0.08575138751255107, 0.10052512535440883, 0.11936753334795114, 0.1433932654817376, 0.1738767940273016, 0.21214680816209608, 0.2593830000062969, 0.3163207475467713, 0.38294199781053084, 0.4583118907652599, 0.5406982814415948, 0.6278776533019332, 0.7172204281002044, 0.8051644708556815, 0.8862564621404303, 0.9528141978970347, 0.9955781387921239, 0.9441753555127721, 0.820629721157772, 0.6845212111725973, 0.5776923117486841, 0.5412200604973396, 0.5295370212267478, 0.5229036118201105, 0.5176970472467257, 0.5127530795680943, 0.5075133233081726, 0.5018022007121434, 0.4956929642738519, 0.48937873207034777, 0.48307402513427, 0.4769579823449135, 0.47115340549378004, 0.4657283912385246, 0.4607080778292989, 0.45608833220723355, 0.45184744679550803, 0.4498182251246803]",1.3791535316105583,1.380812114154841,0.3629296403405118,left,"[2.2656385500734713, 2.262817105074111, 2.259713701526934, 2.2562836320032074, 2.2524719891543987, 2.2482103988383537, 2.2434123151269096, 2.237966067575242, 2.2317243280865866, 2.224487780887971, 2.2159792493212938, 2.2058017476631084, 2.19336844012091, 2.1777806316544273, 2.1576017738790387, 2.1304024487045656, 2.0917550815133357, 2.033058229832194, 1.940831246077632, 1.811104065720312, 1.4791824431693834, 1.3989417451071335, 1.3480220044833302, 1.3066161423088505, 1.271064539786572, 1.2400963399502691, 1.2129590834909805, 1.1890694464533678, 1.1679600613868082, 1.149264551961433, 1.1326936654833015, 1.1180070905264186, 1.1049922346421526, 1.0934537703742548, 1.083211098338831, 1.0740992888596632, 1.0659704505605474, 1.058694241065648, 1.052157345021049, 1.0462621972655464, 1.0409253044812772, 1.0360754455285537]"
1951,4,Rosemary Clooney,Come on-a My House,"[1.0504424284161262, 1.0509621667038491, 1.0520739138698088, 1.0533499675517985, 1.0548384121892997, 1.0566075472981376, 1.058752195784558, 1.061399414920246, 1.064712025062638, 1.0688894472773107, 1.0741694307879603, 1.080841718875905, 1.0892920926468186, 1.100095129269763, 1.1141620070774105, 1.132933994567855, 1.158604858527669, 1.1943375239684004, 1.244394017425026, 1.3144618017469343, 1.417207765047999, 1.6213105110793424, 2.059433439575349, 2.5470641691554063, 2.80075523188572, 2.869451260052035, 2.870258243698097, 2.87199182691005, 2.8739816211339693, 2.876263374214456, 2.878876417240793, 2.881863525473184, 2.882304602127769, 2.8852701136075467, 2.8891413045950145, 2.8935128562574213, 2.8983855557457643, 2.903657698690577, 2.90789935791928, 2.9089609745377705, 2.9133121204775554, 2.9144948470685845]","[0.3106727369792921, 0.31561658898446154, 0.32590296013469455, 0.3370848861410636, 0.3493987306886357, 0.3631675082597292, 0.37880757573689383, 0.3968160496603659, 0.4177306509795162, 0.4420651191194045, 0.47024655563572537, 0.5026048982452309, 0.5394598248924023, 0.5812884716577997, 0.6288551990605664, 0.6831165276357534, 0.7447268119908377, 0.8129965670608934, 0.8842088744907672, 0.9497279834418941, 0.9947173830055516, 0.9751267990203968, 0.7239207880161183, 0.27359592672862165, -0.06601326755762571, -0.019595822713448285, -0.02727200861501089, -0.043310190599008536, -0.060748238640222496, -0.07963219985293435, -0.09998377318497376, -0.12179233609890261, -0.21479423079089255, -0.1450028548513025, -0.16949253868017777, -0.19501940238714965, -0.22110607058636766, -0.24678593999284537, -0.2739127566798123, -0.2700989221091401, -0.28728092296685936, -0.29189036763590437]",1.8640524186524583,1.417207765047999,0.6064860269358614,left,"[2.7674916777806904, 2.7622629812539548, 2.7563817787625924, 2.7497225417504003, 2.742127252414546, 2.7333946924001995, 2.723265298645408, 2.7113993097227196, 2.6973445282514654, 2.6804876584405815, 2.6599791324408066, 2.634614416902647, 2.602642999205566, 2.561455334866614, 2.5070525003526454, 2.433077330429532, 2.32889834143414, 2.1763760323162535, 1.9514128290728756, 1.6821251831973774, 1.5193303870629697, 1.438866494725238, 1.3831668910430124, 1.339342740342597, 1.3038681061184487, 1.2748959775096207, 1.2510451069945288, 1.2312153673736934, 1.2145429470166311, 1.2003635466433569, 1.188174346096671, 1.1775974842114616, 1.1683474043038518, 1.1602041983019975, 1.1529940147866349, 1.1465759523183077, 1.1408337800766895, 1.135670691103742, 1.1310057380324168, 1.1267711534224507, 1.1229101663234313, 1.119375154718197]"
1951,5,Mario Lanza,Be My Love,"[1.149638072968119, 1.1506643007847397, 1.1528475373159974, 1.1553151940455881, 1.158119716904739, 1.1613290204525177, 1.1650306509538564, 1.1693359906786127, 1.1743840183102987, 1.1803442841472245, 1.1874191633825395, 1.1958459957739278, 1.2059001410181902, 1.217899776578903, 1.2322113995603943, 1.249250360443607, 1.2694666136414885, 1.2933242409707955, 1.3214148682547513, 1.3555895046654967, 1.413266320704679, 1.7380037302050042, 2.114511194331545, 2.195292011057168, 2.195350820235116, 2.1958703939939896, 2.1964954828913386, 2.196793773579212, 2.197877117589562, 2.199006754778414, 2.199387815198048, 2.2001160768258945, 2.201169239856961, 2.2021501259640424, 2.203054794824871, 2.203488151622308, 2.2049495909710637, 2.2144346387574743, 2.229882037641303, 2.2535187620233663, 2.2552427723242268, 2.286560651006421]","[0.31805717947356094, 0.3278188587048305, 0.3480218360925811, 0.36965159291329996, 0.39286392227473677, 0.41785810755999186, 0.44487716657120835, 0.47419828270875364, 0.5061102257931802, 0.5408770291245624, 0.5786904964919017, 0.6196165505510551, 0.6635402402410779, 0.7101100366612227, 0.7586731434829086, 0.8081839182313977, 0.85707625818113, 0.9031551807879454, 0.943703522177116, 0.9761206198659765, 0.9994474241509985, 0.9391189219677402, 0.8031584039365356, 0.8820746387737906, 0.8818585152931764, 0.8786330078093663, 0.8764401993686572, 0.872749259176743, 0.8653399673384623, 0.8570738832904397, 0.8640030116359227, 0.8484211609863763, 0.8396959102272099, 0.8310925839163303, 0.8227171055149789, 0.8185949311003355, 0.8426887480460437, 0.8108674483762615, 0.7665431127976801, 0.6777664091419764, 0.7062179855381894, 0.6450325683373088]",1.1369225780383019,1.413266320704679,0.5362423918233094,left,"[2.1853476447323414, 2.184417362327728, 2.183433358235852, 2.1823907607692914, 2.18128355440299, 2.180103623213601, 2.178838975040862, 2.17747051293568, 2.1759662072747257, 2.1742705336211916, 2.1722851017923555, 2.169832578544575, 2.1665885415337707, 2.161951182103649, 2.1547851417069106, 2.1428662887749836, 2.1214087435138467, 2.078651155318273, 1.9892872175197869, 1.845494346378144, 1.488391310272739, 1.4155318816855853, 1.3882246575153288, 1.3675779800695163, 1.3500476350807131, 1.3345763182478625, 1.3207454454664496, 1.3083221773850156, 1.2971363665581688, 1.2870463183718124, 1.2779287401287, 1.2696748283531682, 1.262187944172846, 1.2553819412802172, 1.2491799551561724, 1.2435135343006856, 1.2383219804203898, 1.2335517750463627, 1.229156007447173, 1.2250937662895223, 1.2213294976901292, 1.217832355020763]"
