year,position,artist,title,alpha,f_alpha,alpha_width,alpha_peak,spectrum_skew,truncation,H_q
1950,1,Gordon Jenkins & The Weavers,Goodnight Irene,"[1.0921664119875985, 1.0925394331375138, 1.0934026658855578, 1.0945369938307938, 1.096028091377056, 1.0979903836579188, 1.1005768765575106, 1.1039918729909668, 1.1085072702080314, 1.1144838280973737, 1.1224002961593114, 1.1328951049597575, 1.1468250329772747, 1.165337037011025, 1.1899192921735944, 1.2223168274170728, 1.2640865434199788, 1.3157224038331263, 1.3760692685641374, 1.4435395507061053, 1.5250354700221431, 1.8929588493708898, 2.3634194162639073, 2.6302714898077695, 2.7948798617740254, 2.8318442060253872, 2.8318496417798, 2.8318634873206237, 2.831956270563176, 2.8321541958566634, 2.8325015096618746, 2.8330600296422275, 2.833915626470604, 2.835185890536525, 2.8370271595502827, 2.839635304425897, 2.8432258163833426, 2.8479589408890633, 2.8518903216562923, 2.8537308513622377, 2.8596327658450016, 2.8624548004892745]","[0.05014181505741533, 0.05369006502002449, 0.06166217574623367, 0.07158459069245815, 0.08390031062437586, 0.09915031625975956, 0.11798907632112066, 0.1411957268916293, 0.16967683900327835, 0.20445830160275502, 0.24666702840187504, 0.2975022363913027, 0.35817916525728233, 0.4297824053764465, 0.5128799910346378, 0.6066377017464002, 0.7072935037642432, 0.8068615795327414, 0.8942342519040927, 0.9592613111285906, 0.9963921372762605, 0.9291550620064875, 0.7418901076835027, 0.4889792242961679, 0.2655938090504888, 0.2772422827376424, 0.277190576781031, 0.2770709323925402, 0.27626682322457796, 0.2746405629633841, 0.2719511858505257, 0.2678946032067451, 0.26209381176342106, 0.2540973081650506, 0.24339958808139883, 0.22951126725484272, 0.21212957361051643, 0.19149568976615328, 0.16309239532746478, 0.1690788363650757, 0.14884999066373794, 0.13991515384593445]",1.770288388501676,1.5250354700221431,0.5109620999085768,left,"[2.7595686994579034, 2.7558619844670367, 2.7517551311803374, 2.7471760984266265, 2.742033780952114, 2.736211182629202, 2.7295554735438707, 2.7218632052939387, 2.712857849075593, 2.702154912208271, 2.6892065518423185, 2.6732116717414014, 2.6529667248914888, 2.6266123999686917, 2.5911931475158725, 2.5418777214682136, 2.4706324128610264, 2.3647276642178827, 2.211234453730627, 2.0106692300980282, 1.6024946035974887, 1.5398277071894748, 1.499215758830365, 1.4627971820027814, 1.4288463358210919, 1.397430613927379, 1.368933684038869, 1.3435494488472854, 1.3211965128747964, 1.3016171166505184, 1.2844867276332133, 1.2694795906141834, 1.2562977830290565, 1.2446802686114937, 1.2344028922407564, 1.2252749726638348, 1.21713501924937, 1.2098465376328154, 1.2032942274925345, 1.1973806410055696, 1.1920232980969472, 1.187152230481857]"
1950,2,Nat King Cole,Mona Lisa,"[1.0249917118672442, 1.0257152416625366, 1.0273318195280696, 1.0293310577118935, 1.0318117032750505, 1.0348981109043123, 1.0387457783708822, 1.043547578869261, 1.049541117459927, 1.0570186396227714, 1.066342692149861, 1.0779725836390668, 1.092505745927922, 1.1107283123289104, 1.133643765659105, 1.1624110757756347, 1.198111955366623, 1.2413671821125667, 1.292121607492174, 1.3506393874781857, 1.4277830129100566, 1.803719669211454, 2.391104390032001, 2.732369857877165, 2.8338894181679466, 2.8340918900149323, 2.8345701821603386, 2.835215517959508, 2.836073239946293, 2.837198620611856, 2.8386580191779873, 2.8405297050060665, 2.8429040181775656, 2.8450727811006837, 2.8458822267321615, 2.849572686882059, 2.854081074824238, 2.8594864236182946, 2.865776676875996, 2.872635856311344, 2.877414727802315, 2.8785906231231926]","[0.03654421388157303, 0.04342657047093823, 0.05836814135272128, 0.07587044198060333, 0.09637621851995704, 0.12038293739953687, 0.14843324493365984, 0.18109667030682797, 0.2189431666945456, 0.26251339023204867, 0.3122951562408858, 0.3687136698461879, 0.432122346529634, 0.5027303965542567, 0.5803380836294711, 0.6637480090505381, 0.7499192904182004, 0.8333812438608983, 0.9067654288600369, 0.9628530286451144, 0.9969440935824609, 0.9276077164485839, 0.6588422628116697, 0.36816575058362044, 0.3725900455823137, 0.3706640938670809, 0.3662490321417131, 0.36060552151542424, 0.3535216540604509, 0.34477452879105286, 0.33414113689425307, 0.3214143158866065, 0.3064248641377212, 0.21671619790920538, 0.28907157140217166, 0.2693626990126585, 0.2474764605853288, 0.22385853406516354, 0.19941416157249847, 0.1760283784455403, 0.15972864413672383, 0.15834339902113914]",1.8535989112559483,1.4277830129100566,0.5653954060968973,left,"[2.771148422726178, 2.7679309357804462, 2.764343723559826, 2.7603150219084576, 2.7557532030265306, 2.750539767968092, 2.744519352325106, 2.7374852122332918, 2.7291576958961516, 2.719151506851679, 2.706924451927388, 2.6916944163189664, 2.672299364186952, 2.646949881039146, 2.6127678833595525, 2.5648822536674354, 2.4946244434646005, 2.386292268447504, 2.2142657733557334, 1.9248554825412831, 1.5069113066506479, 1.4403122292219668, 1.4014069149965296, 1.3685739558269439, 1.3389581678511835, 1.3120376119538872, 1.2877413633113433, 1.2659986777451948, 1.2466486706040802, 1.2294644741178338, 1.2141975285669948, 1.2006088759314024, 1.1884836439727107, 1.1776344381220214, 1.1678995659708167, 1.159139698914744, 1.1512345611192123, 1.1440801124892377, 1.1375862345084513, 1.1316748092700655, 1.1262780893822584, 1.121337290479087]"
1950,3,Anton Karas,Third Man Theme,"[1.0662612322421587, 1.0673502805863275, 1.0696380488640536, 1.0721559108042789, 1.07492616183593, 1.0779727375786632, 1.0813215173036475, 1.0850013433319805, 1.0890466233305183, 1.0935029067683275, 1.098437362230726, 1.1039564291431547, 1.1102329225311385, 1.117544877865889, 1.1263304637235583, 1.1372741497003982, 1.1514786007137243, 1.1708936399558336, 1.1994269348584263, 1.2450541754730422, 1.3219549622210913, 1.6586379767959165, 1.885406479674111, 1.9071599705862043, 1.9151562999789493, 1.9471826909076326, 1.9844315614257402, 2.014097463367302, 2.0356064733178925, 2.050747218616649, 2.0614725869597073, 2.0692153019340203, 2.074926393066019, 2.0792269563651367, 2.082527064807527, 2.0851030082924646, 2.087145157153389, 2.0887874789158536, 2.090126002436141, 2.0912306424963, 2.0921529757218273, 2.0925740612280155]","[0.4381314882952978, 0.4484907286422697, 0.4696676854628059, 0.491746370285977, 0.5146869966415437, 0.5384299395865941, 0.5628947067719716, 0.5879829820840348, 0.6135890859878499, 0.6396212940426036, 0.6660355861477516, 0.6928785494014607, 0.7203284624298822, 0.748715794375352, 0.7785030616592628, 0.8102192903778613, 0.8443830560053267, 0.8814764210708739, 0.9217981359301919, 0.9635775884274583, 0.9961974017402254, 0.9377286483468074, 0.9114434723324591, 0.8752469309001283, 0.8906188761367442, 0.7970600729536006, 0.7069794631076451, 0.621231643708902, 0.5486965190549569, 0.49025364384633363, 0.4436006219819184, 0.40612479597010065, 0.37568191940926, 0.35064991883597685, 0.3298243867692001, 0.3123072183181854, 0.2974202187736008, 0.2846440634088836, 0.27357624368909583, 0.2639018784344067, 0.2553729759083403, 0.2513675284104515]",1.0263128289858567,1.3219549622210913,0.5017236016983352,left,"[2.0177108140690607, 2.013871673189114, 2.0096630128093023, 2.005030648125435, 1.9999099231575634, 1.9942233151202202, 1.9878774770891736, 1.9807596568724797, 1.9727335430542368, 1.9636349091346261, 1.9532682382900874, 1.9414074580189633, 1.9278083915442943, 1.9122501885262473, 1.894639750998571, 1.8752148158567716, 1.854732279697606, 1.834090315827708, 1.8127901269867277, 1.7656687640325002, 1.4033254350178275, 1.3375456150861669, 1.2948314712888493, 1.263552463395669, 1.2403145933286075, 1.2223707640890755, 1.2080105960141045, 1.1961871904310215, 1.1862292274032928, 1.1776831168862845, 1.1702300053249448, 1.1636399382685458, 1.1577443282650808, 1.152418013228511, 1.1475668904969973, 1.1431191622083, 1.139019100407533, 1.1352226258895564, 1.1316941931422073, 1.128404602637094, 1.12532946039573, 1.122448083412629]"
1950,4,Gary & Bing Crosby,Sam's Song,"[0.9428153583390022, 0.9431669296139293, 0.9439719838932331, 0.9450130452289244, 0.9463650086223916, 0.948127692834892, 0.9504354194247538, 0.9534713080281387, 0.9574887337040121, 0.9628430030550895, 0.9700361872530484, 0.9797759182937474, 0.9930425493655108, 1.0111461351211746, 1.0357359265493404, 1.0687058683212907, 1.1119334666398624, 1.1668440303920011, 1.23398510090709, 1.3131192118813566, 1.4075189741537069, 1.7396168759731307, 2.054679772128023, 2.1365881677143834, 2.266037261365132, 2.4071762297693096, 2.4958152696183906, 2.5386938326258965, 2.5435635477360745, 2.544193680406412, 2.545537744802696, 2.5470593498308816, 2.5487776257074013, 2.550708260993029, 2.5528578652153535, 2.5552131706257386, 2.5565966418140613, 2.5577201923329036, 2.560243204073324, 2.5624815363757967, 2.562817045447255, 2.5637943920652653]","[0.03885626391047836, 0.042200478476857484, 0.04963710064371085, 0.05874542082857559, 0.06991370098639216, 0.08361418408683807, 0.10042410345432362, 0.12105528569101143, 0.14639395989212733, 0.17754764869670936, 0.2158850823150722, 0.26303499658118135, 0.3207794920893807, 0.3907471372393445, 0.47381077170217045, 0.5691657301451856, 0.673239461434489, 0.7788919564303709, 0.8756541995673408, 0.9514260604616933, 0.9951835452121442, 0.9394995689977023, 0.8456492070059847, 0.7627666728789997, 0.5647055869293247, 0.29508467680794137, 0.08592455835148716, -0.03544524459188736, 0.020200893503847794, 0.014206948590882007, 0.001770205175471773, -0.011567365419264064, -0.02579137774356255, -0.04083306042722867, -0.05653515502969242, -0.07259671334734108, -0.09461357113754154, -0.08848135004927826, -0.10325984898712726, -0.11533019684499735, -0.11800216683833398, -0.12190031265951795]",1.620979033726263,1.4075189741537069,0.4266383387495687,left,"[2.445583637086459, 2.440559026283915, 2.4349230918626805, 2.4285614584531965, 2.4213308181695647, 2.4130496949365248, 2.40348565364219, 2.392337373413735, 2.3792092509248217, 2.363575144036488, 2.3447265931822496, 2.3217001140703166, 2.2931812287391864, 2.257402265703133, 2.2121303324084547, 2.155114423185763, 2.086048138092927, 2.0110791051380223, 1.942056839475163, 1.8437336883695357, 1.49156510886371, 1.4272664387839156, 1.3795035959170425, 1.3359486572618704, 1.2963501701970697, 1.2607910453197062, 1.2292895507217214, 1.201687913935579, 1.1776752509424204, 1.1568545542145425, 1.1388052085051767, 1.1231252902296296, 1.1094540743743717, 1.0974801242817032, 1.0869406905713555, 1.0776168392812115, 1.0693271071976005, 1.0619211851665065, 1.0552742959318626, 1.0492824673354166, 1.043858674184311, 1.0389297319479545]"
1950,5,Gary & Bing Crosby,Simple Melody,"[0.7098338360290566, 0.7099735112700429, 0.7102806355628204, 0.7106511797894405, 0.7111040571862518, 0.7116659689500888, 0.7123750387386438, 0.7132863293062496, 0.7144803462843523, 0.7160763898790188, 0.7182539772006832, 0.7212880785689809, 0.7256086884348113, 0.731904508596347, 0.7413089556180107, 0.7557453033517628, 0.7785973191463411, 0.7830374704424339, 0.7833312558069104, 0.7839845454618011, 0.7847896741904042, 0.785795789968397, 0.7870728551033744, 0.7887221362767185, 0.7908923708478488, 0.7938044166492311, 0.7977878191553223, 0.8033322103512415, 0.8111530654006058, 0.8161187842933354, 0.8222637703285338, 0.8380348912196863, 0.860198569995702, 0.880882303435415, 0.8906730216654453, 0.9308607502121188, 0.9795676018846917, 1.0087089649727599, 1.0317709457937998, 1.140737325246786, 1.203277762517203, 1.2674549934233494]","[1.6405164906880714, 1.6391878725421032, 1.6363481288068016, 1.6331032639201446, 1.6293590823483326, 1.6249886362207926, 1.6198210062325469, 1.6136261950572397, 1.6060947011317817, 1.5968097411338, 1.5852092319557776, 1.5705335376225946, 1.55175398891837, 1.5274777108241038, 1.4958303903750196, 1.4543395326786808, 1.3998936433774622, 0.12520430402721772, 0.1279988477380929, 0.13403769846002156, 0.1410861165287871, 0.14940149934589453, 0.15933076809319147, 0.17134596360961218, 0.1860927314576264, 0.20445278009676748, 0.2276155349399236, 0.2571399210154457, 0.2949612040726226, 1.3289682083447, 0.3432667356036001, 0.40414905943796997, 0.4789342671250143, 1.2385495501985972, 0.5669964130983156, 0.6637775423998264, 0.7579751876645158, 1.1248646428308957, 0.8343576362043867, 0.9268343451578607, 1.0352075733129449, 0.9981502131413387]",0.5576211573942929,0.7098338360290566,1.0,left,"[0.7738854850978637, 0.7771701850501103, 0.7807948876738443, 0.7848147049915146, 0.7892971552961962, 0.7943257563212259, 0.8000049051370384, 0.8064666033704971, 0.8138798772699645, 0.8224642132985224, 0.8325091129634778, 0.8444032103717514, 0.8586787681151241, 0.8760817495549353, 0.8976862325824398, 0.925090038259271, 0.9607710900182961, 1.0088001634666597, 1.076492934598265, 1.1793573101749837, 1.3476288131002767, 1.2750391195438613, 1.2407303868643766, 1.1675976841062028, 1.121324991966904, 1.08402875867442, 1.0520652676924367, 1.0245346857485822, 1.0009008149733079, 0.9806523811535479, 0.9632930161007242, 0.9483667972006068, 0.9354737455355967, 0.9242741607133613, 0.9144856968116907, 0.9058766724560492, 0.8982581406136297, 0.8914762097466344, 0.8854053005398892, 0.8799425302270419, 0.8750031718139314, 0.8705170400397121]"
1951,1,Nat King Cole,Too Young,"[1.135249158766585, 1.1358264893964676, 1.1370905462786463, 1.1385950379434042, 1.1403869402465878, 1.1425214426041859, 1.145064680947987, 1.1480999809423038, 1.1517414573964373, 1.1561611417625322, 1.1616379096215592, 1.1686365396579288, 1.177919847640848, 1.1906790104563765, 1.2086216714591016, 1.2338644488719333, 1.2683723591148062, 1.312818480871083, 1.3655187078580766, 1.4234347716251532, 1.5012280663515947, 1.874654941915141, 2.2994208988370057, 2.508607255511021, 2.6561513786436657, 2.701361571300424, 2.703297395829999, 2.703429592803878, 2.7037012819985913, 2.703845290039921, 2.7043836615636274, 2.7049517924196476, 2.7049577709451293, 2.7054998074425667, 2.706003369244477, 2.70645269514081, 2.70684599827374, 2.7071474166578575, 2.707185673568039, 2.7074761188102756, 2.707609659618226, 2.7087092924996403]","[0.22896416552985954, 0.23445584713118173, 0.24614481442395686, 0.2593230243681326, 0.27414456261934816, 0.2907586716113002, 0.309313462563491, 0.32997659563676063, 0.35298678236557013, 0.37875040165670804, 0.40798781509531157, 0.44190640932710856, 0.4823262215522375, 0.5316064810120844, 0.5921214315277039, 0.6649748874955073, 0.7479085775161614, 0.8334407082188098, 0.9097418045262737, 0.965794313148123, 0.999345124907209, 0.9316365103714861, 0.7796204919310996, 0.5729297444466264, 0.3746527036504794, 0.2937560006480773, 0.29642104744637976, 0.29572930062892766, 0.29473175711316557, 0.2934764672189001, 0.2903173664705001, 0.28671498474139057, 0.2899524690558124, 0.28297695011314516, 0.27929868681992076, 0.2757986460071997, 0.27254387890799947, 0.28257914580667354, 0.26956767301311757, 0.26688143994515556, 0.26561117372318677, 0.277751171506897]",1.5734601337330554,1.5012280663515947,0.5348100663768075,left,"[2.634170776990545, 2.6304046804455354, 2.6262458751721955, 2.621629709802963, 2.6164761632810984, 2.6106848084690473, 2.6041275831482182, 2.5966381419544513, 2.5879957096647894, 2.5778997907180727, 2.5659291229266685, 2.551472463963165, 2.5336071763611785, 2.5108781124870516, 2.480883916489193, 2.4395074564249386, 2.3796281938178816, 2.289876533638947, 2.158409645957254, 1.9982355711428421, 1.594364634438234, 1.5039130542320382, 1.4701825436560516, 1.4395304281465322, 1.4103746374857802, 1.3832140071352215, 1.3587374453508805, 1.3372602969003644, 1.3187065723130733, 1.3027705824429554, 1.2890672618557633, 1.2772212409600936, 1.2669056353802495, 1.2578516250884837, 1.2498442756789439, 1.2427134672752176, 1.2363243279717238, 1.230568979436305, 1.2253600550888515, 1.2206258506262617, 1.2163067721339587, 1.212352742213599]"
1951,2,Tony Bennett,Because of You,"[1.1228961178984627, 1.1233744005204374, 1.1244427736034501, 1.125761794965214, 1.1273926181799518, 1.1294132583481438, 1.1319255282658938, 1.1350660596119553, 1.1390236447413895, 1.1440655264859672, 1.1505744637678597, 1.1590946311387738, 1.1703751672188094, 1.1853834169545894, 1.2052364806389606, 1.230978157254067, 1.263141792034845, 1.3011805796898606, 1.3432231798607566, 1.3871566186888307, 1.4404523623555343, 1.7593260355176825, 2.115543065142506, 2.2786789295222394, 2.4202571335145797, 2.462886869351746, 2.4628947913911463, 2.463036844758275, 2.4631722905277664, 2.4632748192973257, 2.463557898031769, 2.463860129711348, 2.4638925820634165, 2.4641660182383176, 2.4643184363912045, 2.4653120990796613, 2.4677815350473966, 2.4717071792429026, 2.4773476436698476, 2.4782209443450474, 2.4841150723099834, 2.488474449285207]","[0.24562555537732322, 0.2501750730009853, 0.2600497972242586, 0.2715975846837235, 0.28507929880270133, 0.30079725730074713, 0.319112702013701, 0.34047401676267697, 0.36545783305556423, 0.39481988959682557, 0.42953947367365775, 0.470817142653142, 0.5199523098077581, 0.5780010283988455, 0.6451303764919252, 0.7196972230407352, 0.7973534274732406, 0.8709341733269951, 0.9321246688755869, 0.9748606410539449, 0.9987009951699977, 0.9360834600388164, 0.8158284547523582, 0.6502550816184569, 0.4547418642436831, 0.4288570270567469, 0.42882745181992377, 0.4277456609568553, 0.427108925213302, 0.42588082057430654, 0.42352981548951973, 0.4208749253594206, 0.4229593586470717, 0.4180401176024304, 0.41659028639204365, 0.41544620674198285, 0.40355248675423816, 0.3865208148770929, 0.36472463160331436, 0.3503611017560395, 0.34167582278444986, 0.32826985688879873]",1.3655783313867442,1.4404523623555343,0.5349131761125804,left,"[2.405977465030409, 2.4029856203452398, 2.3996868106295537, 2.3960285335605414, 2.391944860641406, 2.387351593465472, 2.382139069728734, 2.376161182223061, 2.369218154262748, 2.361028815561373, 2.351184929919763, 2.3390744400838375, 2.3237504345956133, 2.30370570964142, 2.2764897548804637, 2.2381023050346682, 2.182274335145021, 2.100891654000166, 1.9918880964493737, 1.8638419533040622, 1.4972682216768298, 1.4457782821585436, 1.4215137425817725, 1.3988809513827754, 1.3767762781697634, 1.355458563963702, 1.3354546468479749, 1.317156900360738, 1.3007298025255716, 1.286151374853409, 1.273286721408359, 1.261950090336336, 1.2519454592100112, 1.243088560120277, 1.2352163015109563, 1.22818890487775, 1.221888459801916, 1.2162160992377982, 1.2110889350451204, 1.206437255532654, 1.2022021492562311, 1.1983335623607303]"
1951,3,Les Paul & Mary Ford,How High the Moon,"[1.052398233834553, 1.0532041557866394, 1.0549450525923272, 1.0569710951888316, 1.0593443259391235, 1.0621454840775664, 1.0654803227019862, 1.0694874024711967, 1.0743468599023192, 1.0802885907139348, 1.0875966405594162, 1.0966052905948886, 1.1076847637906833, 1.1212263854526578, 1.1376588382852089, 1.157539914532225, 1.181734978717099, 1.2115897767558792, 1.2489715120438265, 1.2976882760322115, 1.3884010123907975, 1.8920314531302098, 2.498930981240885, 2.7737681727170336, 2.936300342547491, 3.011452765613119, 3.0162618155362377, 3.0164907251718036, 3.0169955864039326, 3.0176082577648073, 3.018360666720865, 3.019295085596861, 3.02046715804181, 3.021949133394859, 3.0238322239802553, 3.0262250767682195, 3.0292405774385815, 3.0329511868848202, 3.037261998752567, 3.038465280696867, 3.041569130170951, 3.0438607419051054]","[0.2507183583865906, 0.2583844452479003, 0.2744881100563443, 0.29223968093070063, 0.31187352245397904, 0.33367845618727543, 0.3580073123751504, 0.3852811759740318, 0.41598090971299495, 0.45061414165877967, 0.48964245045580057, 0.5333579214441571, 0.5817235955956628, 0.6342443398953099, 0.6899746821997437, 0.7477025426283461, 0.8061233575351303, 0.8635877358734869, 0.9172457621177541, 0.9630566234297758, 0.9987815075569054, 0.9065951035118138, 0.6775453749733409, 0.42340352168464346, 0.1989510424753833, 0.06022482491807324, 0.13206774182762615, 0.12989030870883056, 0.1252225806942171, 0.11985784878598338, 0.11363762071804828, 0.10636972717185955, 0.09782641978843998, 0.08774836611679859, 0.07586189542908883, 0.06192420515853314, 0.04582608231281604, 0.027812474695879885, 0.008946423746298393, -0.0018305739589159487, -0.007922256221911894, -0.016178499828468418]",1.9914625080705524,1.3884010123907975,0.6625567619831478,left,"[2.9294685897190003, 2.925017655061706, 2.9200607912916703, 2.914505891479737, 2.9082368559615923, 2.901105275319591, 2.8929184794601754, 2.883422033434817, 2.8722735748306256, 2.8590028698616976, 2.8429494792234644, 2.823163352477089, 2.7982431950678506, 2.766070380136962, 2.7233736765745884, 2.665055703130362, 2.583332963631352, 2.4671145245687867, 2.3009590604984407, 2.0582429937044515, 1.5090713775286473, 1.3933968314074854, 1.3481775573448513, 1.3168299871072682, 1.2914883886014084, 1.2700565602844285, 1.2515780577343867, 1.2354360538991358, 1.2211995992146065, 1.2085631907352585, 1.19730173912536, 1.1872378764228075, 1.1782225915486741, 1.170125990709388, 1.1628335942677326, 1.1562448061248098, 1.1502718818076363, 1.1448388276948414, 1.1398801611369496, 1.1353396133698674, 1.1311688679528857, 1.1273263979958938]"
1951,4,Rosemary Clooney,Come on-a My House,"[0.9692007108562545, 0.97000183876852, 0.9717331873557679, 0.9737458800428501, 0.9760896308683669, 0.9788214976330651, 0.9820077969306557, 0.9857286118589818, 0.9900873930505428, 0.9952293669440467, 1.0013735882011752, 1.0088638060280368, 1.0182414167059919, 1.0303372756524487, 1.0463657535436712, 1.0679856731124777, 1.0972801435747448, 1.1366298612214185, 1.1886068935501932, 1.2572180511325397, 1.3748003656035905, 1.9705927489133341, 2.7509729698830565, 3.050498870051297, 3.1155453460482967, 3.1612719286498394, 3.1886231674412766, 3.2046096708174274, 3.211652952099173, 3.2120556847690067, 3.2129037540544783, 3.213527524443814, 3.213838245914191, 3.214858641832285, 3.2159562498489866, 3.217108293871689, 3.2181268856830494, 3.2182685341574198, 3.2193524587102114, 3.2201313572412182, 3.220213898704062, 3.220607912236573]","[0.20361061041019823, 0.2112310954293104, 0.22724625483240857, 0.24488154395383255, 0.2642739149943827, 0.28554475092913734, 0.30879934983954893, 0.3341392097803837, 0.3616952431835694, 0.39168859800544187, 0.42451914409510483, 0.4608669462064974, 0.501766450409578, 0.5485773089084498, 0.6027420149646163, 0.6652227439389904, 0.7355979146121516, 0.8110001094540282, 0.8853619683838436, 0.9499446701975555, 0.9977127250625736, 0.8906652946130231, 0.5720180227212501, 0.3350531673420707, 0.24179777089595778, 0.15535277139112313, 0.0903466233553214, 0.04462455358310358, 0.053922276723433527, 0.050091404985987964, 0.04224164183913004, 0.014829710786191441, 0.034047034931507625, 0.025595479861934223, 0.0170373506263779, 0.008612469810831413, -0.0027220898827540196, 0.0006861671096629607, -0.006203403873559665, -0.01128623511472071, -0.011284340886419386, -0.013474204856244398]",2.2514072013803186,1.3748003656035905,0.639692318209992,left,"[3.1170451797715155, 3.1121934991393285, 3.106773773825841, 3.1006837557204534, 3.093796262057556, 3.0859515123511847, 3.076946608569082, 3.06652087805185, 3.0543351004749475, 3.039941472719961, 3.0227391389074962, 3.001906432821726, 2.9762939110642677, 2.9442476453920396, 2.9032989531013293, 2.849570545237351, 2.7764881911724624, 2.671455469001643, 2.505242467271795, 2.1660642676020987, 1.5223204568267297, 1.3841781928470387, 1.3256270018625473, 1.2826100794754416, 1.2473297971126307, 1.2177299824736534, 1.1927662867352176, 1.171654810362523, 1.1537261445508058, 1.1384036257248584, 1.125203043951898, 1.1137293743540357, 1.103667486430033, 1.0947693731684374, 1.086840805929368, 1.0797292681602366, 1.0733139660585662, 1.0674980232478526, 1.062202613465401, 1.0573626564148795, 1.0529236979669772, 1.0488396498152346]"
1951,5,Mario Lanza,Be My Love,"[1.1670490590486564, 1.1681395884245624, 1.1704925451663513, 1.1732179887350032, 1.1763766263332054, 1.1800351118522001, 1.1842638908498637, 1.1891332028554624, 1.1947064269937555, 1.2010297787974717, 1.2081175908080641, 1.2159342421409969, 1.224380112018546, 1.2333041273625645, 1.2425894116791356, 1.252367056273767, 1.2633443249443546, 1.2770769014290426, 1.2960354205707618, 1.3241428492738958, 1.3764403093003343, 1.7150962948479984, 2.143698149680855, 2.372594774241452, 2.525845268315778, 2.587964889538559, 2.588092438190846, 2.5883810324907515, 2.5887497542646636, 2.5892278584784987, 2.589228328741057, 2.5898537529063455, 2.590670867579042, 2.591732461694643, 2.5930981690833708, 2.5948302421353837, 2.5969818851517656, 2.5995694269903593, 2.6025105305203726, 2.6054806839335676, 2.6055357318711985, 2.6075060651237854]","[0.41722020586384545, 0.42759353407368295, 0.44935949948783005, 0.47324129939870296, 0.4993781465075351, 0.5278669986733213, 0.5587353692048733, 0.5919068945461836, 0.627159918380408, 0.6640810758192046, 0.702020368945127, 0.7400654786409966, 0.7770763362402322, 0.8118537122589773, 0.8435194964752899, 0.8720569696466649, 0.8986182276376082, 0.9249540405660013, 0.9518830530207274, 0.9778886552248883, 0.9989158831529514, 0.9335560685252934, 0.7679037907259012, 0.5498768056872869, 0.3387712706766193, 0.28528471820864, 0.28407145054054794, 0.2814048441012602, 0.2781786603495071, 0.22385344426384446, 0.2742254140144915, 0.2693644516183582, 0.26341192060894514, 0.25619528186840057, 0.24757560010391622, 0.2374850916996305, 0.22599356848334118, 0.21342385162400035, 0.20054548589292587, 0.18892793253420237, 0.18680426129643823, 0.18180827528386345]",1.440457006075129,1.3764403093003343,0.7092710863724913,left,"[2.5164933613594234, 2.5128281547861344, 2.508752920620891, 2.5041935401913205, 2.4990563347246755, 2.493221309410709, 2.486532552906514, 2.4787843378302146, 2.4697005675004133, 2.458903671525318, 2.445866343760418, 2.429834573919749, 2.409700912412196, 2.3837876521595827, 2.3494609827133117, 2.30243550199078, 2.2356499830875833, 2.138554155426369, 2.003493754905027, 1.8264999970062532, 1.4426761758017015, 1.3808851883732334, 1.3543616871332151, 1.3354913170937652, 1.3210323919546703, 1.3095293545761106, 1.3000549130418282, 1.2919409550984673, 1.2847307793451108, 1.2781440544547253, 1.2720253756974134, 1.266294566394968, 1.2609109783253527, 1.2558522003793686, 1.2511028966465976, 1.2466495800312436, 1.2424785088018577, 1.238575099039845, 1.234924007948298, 1.2315094654933756, 1.2283156527911752, 1.2253270384622719]"
