year,position,artist,title,signal_length,alpha,intercept,r_squared,log_n,log_fn
1950,1,Gordon Jenkins & The Weavers,Goodnight Irene,30025,1.1912737499842274,-6.591436607897312,0.981872206343671,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308, 7.949797216161852]","[-5.630824140467725, -5.183767584388331, -4.847369819707365, -4.361330923752836, -4.1721402909536325, -3.8577028651485517, -3.4938622984472296, -3.203166443802111, -2.961769935327862, -2.6963033461617316, -2.422876880799822, -2.158141444082293, -1.9039992806268426, -1.6438706544313044, -1.4144491294045374, -1.190363229195434, -0.9804310975239149, -0.8014269112813528, -0.5805217947690813, -0.3502732846767272, -0.09629549546124437, 0.13370103463033783, 0.3784162605481888, 0.5906680684218338, 0.851278658346662, 1.0039185651984852, 1.1340996828907375, 1.2620306026958141, 1.4207729262178141, 1.46715462540834, 1.573475913731213, 1.6755582172055403, 1.764687090440889, 1.9682158413987099, 2.1572855807387996, 2.2923655376892142]"
1950,2,Nat King Cole,Mona Lisa,29650,1.1380602139088571,-5.952802489314602,0.9812855963486771,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308, 7.949797216161852]","[-5.154845563193964, -4.697666246432317, -4.350139227307452, -3.836228720209862, -3.6346800733006353, -3.31004792502307, -2.9408858716000315, -2.6444688762182444, -2.4179450084104155, -2.1641462380102956, -1.9080503311956252, -1.6652985904601787, -1.4241244678288538, -1.2005689397780426, -0.9805290178745897, -0.778124682418718, -0.5641717280841282, -0.37309279339022616, -0.16787745439016075, 0.03718170265854964, 0.23627120116917874, 0.43768072749303805, 0.5829166860540784, 0.8114540097082585, 0.9802083257826916, 1.1919388195999463, 1.373279853974643, 1.5149995462181474, 1.6060760927935456, 1.7927344553040259, 1.8968784402107775, 2.0488849836396037, 2.206834237013852, 2.331535288625246, 2.4245873756019587, 2.3844569953469916]"
1950,3,Anton Karas,Third Man Theme,19750,1.0362964515608029,-5.796685297598559,0.9718454166643711,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199]","[-5.231545829194575, -4.783209777219293, -4.4308271603122575, -3.9122216710733215, -3.7064991037944317, -3.3685169244125115, -2.9812981577617514, -2.6855429782949938, -2.4409049892027053, -2.187351140414577, -1.9429185193318974, -1.720866420310454, -1.495522635968445, -1.2888354164145488, -1.0848466355095077, -0.9380257103415566, -0.802347718012088, -0.6420574891976283, -0.5197254582380657, -0.3896543846307519, -0.28410365911529784, -0.17239130400081462, -0.05627123929876239, 0.10180580121234653, 0.26263403692781806, 0.3785823866499491, 0.5411375666456031, 0.7074542572001039, 0.8896320072544329, 1.1354982156493443, 1.2747071189366623, 1.4999530654922548, 1.665705226117054, 1.837082094370551]"
1950,4,Gary & Bing Crosby,Sam's Song,25943,1.0434029714799367,-5.970496036267987,0.9621478900372983,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308]","[-5.519547440928406, -5.050928499554074, -4.691622413288481, -4.155809124320269, -3.9479105538920454, -3.602306888362131, -3.201067022519592, -2.891140265450084, -2.641709212543848, -2.3811708696377045, -2.1138713298999643, -1.867979173083201, -1.6360803573057823, -1.413717362543309, -1.1968815389909537, -0.9821712220265993, -0.8174487421800927, -0.6632069904299227, -0.535716124545126, -0.3962703764633472, -0.23059747629698005, -0.10865978937639899, 0.038117412176464555, 0.14980529019872185, 0.30157650505789235, 0.42356350569494233, 0.5222831969935045, 0.6539694356689394, 0.8261814934666276, 0.9442195935451883, 1.0715636774166168, 1.1908539929624242, 1.3367057097601796, 1.5234640386605425, 1.6159266822317648]"
1950,5,Gary & Bing Crosby,Simple Melody,25824,1.0720482157703999,-6.386351579845112,0.9622117413418516,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308]","[-5.903660047361847, -5.428672201694146, -5.064995919485609, -4.526976237947428, -4.314619606884622, -3.963309956573215, -3.559708466414143, -3.2411672566364325, -2.9832719368460126, -2.703471210549531, -2.4290353297852865, -2.16154631564781, -1.9142526902087935, -1.6569286286267784, -1.4454059973342086, -1.258852069287766, -1.1180383174512953, -0.9498712288257023, -0.8422973421664679, -0.686867012804443, -0.5479861964567204, -0.4131189286839756, -0.2602340423496838, -0.1044010692841184, 0.05230560530261696, 0.21483989085092609, 0.39418274274905246, 0.5167069089889472, 0.6745516558201383, 0.7960305076400798, 0.8871763400373366, 0.950798705993484, 1.0783689389659628, 1.2241397225510968, 1.3410013553395732]"
1951,1,Nat King Cole,Too Young,28612,1.1923002363732507,-6.6537359719018525,0.9809362802984961,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308, 7.949797216161852]","[-5.7187819985411705, -5.274712353926962, -4.930048064640551, -4.423339580824806, -4.223031794873837, -3.8972731685052735, -3.5183339550504504, -3.226055045756831, -2.9824728129859337, -2.731600823750245, -2.471709349352452, -2.2254428774630894, -1.987811038565265, -1.7459206522078559, -1.516415290670966, -1.3097366384842615, -1.0639400578201277, -0.8357667112783439, -0.5974898846999402, -0.36091577252680174, -0.13768574966810507, 0.08667213848211389, 0.267766801689361, 0.5057539141332961, 0.7226642741015946, 0.9054738820486198, 1.1074098067580664, 1.2168626971725183, 1.4270329668116957, 1.556656458923175, 1.596463845497459, 1.6908638983905853, 1.811284218573776, 1.8790939380253355, 1.9732483903987352, 2.086132772924618]"
1951,2,Tony Bennett,Because of You,26580,1.1926901188105155,-6.370710992316866,0.9868676254942135,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308]","[-5.348067386826092, -4.898333583134787, -4.560932021127953, -4.062670552171083, -3.870478508221661, -3.5590432603489957, -3.2061291388349233, -2.9321017804370384, -2.711136217050071, -2.4688287783061096, -2.2277498542250918, -1.9873665208697107, -1.7588928773484869, -1.5022454612826552, -1.2797603229660095, -1.030670742809489, -0.8028156142314679, -0.5477409023088666, -0.3422260123755082, -0.11121153623899811, 0.12286136764141134, 0.30667137428256297, 0.5064181752283958, 0.719197285639968, 0.9033486857954577, 1.0565360759822153, 1.2771965288802438, 1.4379978875567947, 1.5830298710903643, 1.6916643751320244, 1.8337300130083038, 1.9463189785494672, 2.0979203893057385, 2.2220900065718254, 2.3027250851826735]"
1951,3,Les Paul & Mary Ford,How High the Moon,19084,1.0707945674643524,-5.983006166578879,0.9800715015982233,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244]","[-5.247099242010262, -4.793802013508099, -4.448074705678653, -3.9454539789232954, -3.7480755182598395, -3.426175888307752, -3.061013748340225, -2.7798983002368463, -2.5564964559010255, -2.310537397036229, -2.064271506153261, -1.8292950371562278, -1.6131162579074911, -1.3853131025375396, -1.1953261919732971, -1.0147268731848418, -0.901793982654145, -0.7634826291462272, -0.6494740918762903, -0.5382983759302893, -0.38349364558025634, -0.25255088140957915, -0.10844051596331829, 0.02792641907233582, 0.18572369240189543, 0.3912021686959305, 0.5893473332623028, 0.8202291524204476, 1.0341044171742229, 1.2127593928142144, 1.4010586175770918, 1.5703906296367334, 1.875428824947085]"
1951,4,Rosemary Clooney,Come on-a My House,17913,0.9905928142153316,-5.799205016369242,0.9627682509983387,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244]","[-5.355233636846261, -4.890517271882395, -4.533683287083218, -4.010988248383618, -3.810476244633842, -3.4768349477617138, -3.093767021132395, -2.8072442637034167, -2.5753056925000286, -2.343077971809827, -2.0919233897111384, -1.8575024957154507, -1.656029908398024, -1.4659803454202274, -1.3003276328333226, -1.1593788245101786, -1.0460515043015064, -0.9149986947233316, -0.7894444750407403, -0.6330727760986306, -0.4961861427205211, -0.34248082187769796, -0.21234395810672593, -0.05524068224628497, 0.05648276044743686, 0.23249080439001818, 0.31902708907184146, 0.4921548117491487, 0.6141628308682441, 0.7787163665052429, 0.8500810062756599, 0.9582550585119922, 0.9751453926358644]"
1951,5,Mario Lanza,Be My Love,31245,1.2355849102289493,-6.966096389758072,0.9972270227477332,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308, 7.949797216161852]","[-5.666277313661524, -5.230978032961369, -4.903464218751133, -4.431652429656329, -4.25314719535028, -3.964876466229819, -3.6340188449401682, -3.384818553142003, -3.16981919358357, -2.9532802966363554, -2.7356013147889713, -2.5006568433453937, -2.291047662367366, -2.0410007064791293, -1.8140677926082993, -1.6080039767259624, -1.3793900335415756, -1.1481341460390033, -0.919454926883142, -0.7056411505841813, -0.45398270729910345, -0.2228194401880166, 0.002993018118433868, 0.23240027540832578, 0.48396246421166333, 0.6957341986060176, 0.9318076557312468, 1.096330685818315, 1.331065013207232, 1.5113548784193984, 1.7019590266056916, 1.9225952439323153, 2.0809187553895723, 2.2364642702061244, 2.431272361115336, 2.539683187235424]"
