year,position,artist,title,signal_length,alpha,intercept,r_squared,log_n,log_fn
1950,1,Gordon Jenkins & The Weavers,Goodnight Irene,20982,1.1286794807818452,-6.019657141538306,0.9729346097359561,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199]","[-5.269899480137657, -4.814996915469135, -4.464084931635262, -3.9498260100203546, -3.7519671549782014, -3.4285593745082092, -3.04922825890859, -2.7522592791946403, -2.508106987716369, -2.244270674545238, -1.9719282127327802, -1.7158786615739237, -1.4773062455359254, -1.2208893240208802, -1.0051401582824293, -0.7958717313721576, -0.5724854307957296, -0.36898992468551656, -0.19694577629312818, 0.01352977646375729, 0.19377469286364846, 0.3712055431346528, 0.49480283381192974, 0.656862427008217, 0.8017436777444252, 0.9472981848812904, 1.075819600586837, 1.1504583774079753, 1.2850898338149173, 1.4429516537117555, 1.5414497170248669, 1.6607098094640775, 1.8197378471900147, 2.0426043176188284]"
1950,2,Nat King Cole,Mona Lisa,29982,1.1205192850236365,-6.274742282191727,0.9830578906601128,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308, 7.949797216161852]","[-5.444963646259054, -5.025687999518316, -4.690975695666904, -4.2031804793321434, -4.011458033977236, -3.6945502517369464, -3.3295469707616965, -3.04075291320997, -2.8111107230795658, -2.5471261605897038, -2.285470106836427, -2.0273097840799355, -1.7928967586847662, -1.548584988516688, -1.3371225350234297, -1.1216803565907814, -0.9300424576199235, -0.7143124286266543, -0.5506235999601136, -0.3675158877285003, -0.19831912964915718, -0.021979835199745074, 0.1823347054729244, 0.3250542464556915, 0.49890670160579054, 0.6299870174867721, 0.8044741325855894, 1.014852099196816, 1.0781416541458602, 1.2870732151865745, 1.4755734667570242, 1.6156998890268162, 1.6875193353193267, 1.9095404880546643, 2.0105936912771614, 2.2413649697435414]"
1950,3,Anton Karas,Third Man Theme,23112,0.9593580171138173,-5.291925384034949,0.9267529604984578,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199]","[-5.12655299829106, -4.647313246066818, -4.281026703716186, -3.7389323192086463, -3.5280150924688076, -3.1786836433000074, -2.7676191974870927, -2.4532569612518826, -2.194237093723882, -1.912478154190192, -1.6333489810821662, -1.3636388502360857, -1.126928785950378, -0.8906076355716116, -0.7077412316524979, -0.530886065871775, -0.33305125954895703, -0.20818718886582632, -0.10223870909900343, -0.0019876180825428077, 0.12097490074323043, 0.17560656487451073, 0.23122874519238323, 0.27557369413504085, 0.3136155293285554, 0.3947748993259282, 0.45543158591795585, 0.5867939096634391, 0.6815685796322406, 0.8586587782633124, 1.0173041837525743, 1.1777245733364177, 1.3879716097560146, 1.5376026155357347]"
1950,4,Gary & Bing Crosby,Sam's Song,21138,0.9703314226667535,-5.2134202326707895,0.9553871905288036,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199]","[-4.869056759965888, -4.4015171557983015, -4.045749614542659, -3.520991103874012, -3.317739704446513, -2.9852795134853207, -2.6019455166456957, -2.3146159508791353, -2.075082374730846, -1.8270994844883115, -1.5640314197231078, -1.333032048742726, -1.0911301625109013, -0.8864916774206879, -0.7111246350202693, -0.5612806996662241, -0.40576797519746327, -0.28234521834051196, -0.1449564807376672, -0.03854900003078285, 0.04106625212794986, 0.14803312462631404, 0.2800469815748831, 0.3350937859135656, 0.5045784955011796, 0.6295126913800908, 0.7753586906400742, 0.8437947621608478, 0.9677029006909302, 1.1358504949880113, 1.2951346713807819, 1.4128412084287472, 1.6154599844768216, 1.8481818942875434]"
1950,5,Gary & Bing Crosby,Simple Melody,22356,1.0510216582101164,-5.638546028841479,0.9773839018486875,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199]","[-4.9858984899137635, -4.528100371798721, -4.184046938179639, -3.6790953238176183, -3.4862757427720923, -3.172386076761549, -2.810736326977487, -2.532692651832173, -2.3119871105908283, -2.0610279298292786, -1.8212271032510008, -1.58323552519878, -1.3594837069774424, -1.1292167295550504, -0.9423245147775556, -0.7479595233515411, -0.5668607804886802, -0.43555499262117936, -0.3205728930212403, -0.17937599028265624, -0.032298043687589914, 0.09582940046322268, 0.2359733864980409, 0.42583878959076543, 0.5721433967027693, 0.768692687611699, 0.9183493379847427, 1.151071624501207, 1.230887527186005, 1.4401406586804748, 1.5150784354186826, 1.7002376654677722, 1.813380892627685, 1.886178473228001]"
1951,1,Nat King Cole,Too Young,27642,1.1569369862449381,-6.118965902255106,0.9734180059720768,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308]","[-5.3955350407376645, -4.927049894195346, -4.565707405645653, -4.035087052421954, -3.822688529603751, -3.4758232045532957, -3.0716321893055576, -2.760538650378843, -2.5080482493391796, -2.2288670558477723, -1.9496760612192383, -1.6858565112188393, -1.4387527006381053, -1.1729972082071092, -0.9521392783089072, -0.7465170817041591, -0.5182306779845659, -0.32438195467369724, -0.13605343553655547, 0.046912150791265046, 0.23525489375775793, 0.4011019193163992, 0.571906532784455, 0.7616963089831509, 0.8752141344855625, 1.0279404257255498, 1.1772906396130864, 1.2818633131728407, 1.4580108202688196, 1.5969062788041544, 1.7530237206059063, 1.8643367738184147, 1.9862371422620135, 2.1390946534491264, 2.340429371694049]"
1951,2,Tony Bennett,Because of You,31488,1.0770505903746932,-5.953897120022021,0.986000871250509,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308, 7.949797216161852]","[-5.216207647260311, -4.761514577203039, -4.413230655788245, -3.902780285780566, -3.707624893821158, -3.389804171609584, -3.025206828413863, -2.7534417140957346, -2.5296161065802343, -2.3063006901075185, -2.076225148453801, -1.8778917020229373, -1.6670446923001727, -1.472625132441279, -1.2900942884482394, -1.1219498974594613, -0.9331589280143517, -0.7513689929950422, -0.578576746096125, -0.38243085144547945, -0.18912948953416958, -0.007679418341238563, 0.17326920900091533, 0.3384865047598334, 0.555355048215079, 0.7191127026543545, 0.9079186863493599, 1.0653883126238637, 1.2337880980561848, 1.3370215002527082, 1.5583520334890821, 1.7167237677285314, 1.7633061737796762, 1.921605678872699, 2.03405665422165, 2.238002296391457]"
1951,3,Les Paul & Mary Ford,How High the Moon,18702,1.0242402257394696,-5.733372608205991,0.966891385569624,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244]","[-5.218490607020916, -4.749223642135245, -4.3903371835445055, -3.869322974631151, -3.665982348599104, -3.3330776626825296, -2.9548786892770913, -2.6607606425097345, -2.4167120522035805, -2.173560817060387, -1.9133447957657386, -1.6618230422727684, -1.455479255253052, -1.2401824971260798, -1.0779919602687498, -0.9429209157696362, -0.7996601900721857, -0.6666407678805343, -0.5333049738939596, -0.3996724282814633, -0.2870666576677189, -0.16904770627739898, -0.027789844335522736, 0.1399054686820898, 0.2640751890871775, 0.4602910683085066, 0.5848585910771581, 0.6993756741845203, 0.9195061692996668, 1.009723157392175, 1.1736869511780934, 1.3061278198741317, 1.5306942319205334]"
1951,4,Rosemary Clooney,Come on-a My House,19200,1.0606507366980804,-5.680558069351387,0.9735544415546767,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244]","[-5.0744242656791325, -4.599194967300696, -4.24058159996426, -3.7126009747327258, -3.5043416533856218, -3.166893472637413, -2.788519665277947, -2.4868678914053373, -2.2556866740620984, -1.9967590908162374, -1.7508737502717702, -1.535028143047698, -1.3249908972788473, -1.1214271092055998, -0.9578703143781936, -0.7974970118961592, -0.6240156931542099, -0.49407001316057486, -0.33917908888055864, -0.19483218522940696, -0.054927206688109506, 0.10831856874248441, 0.2367615167656356, 0.411406101768954, 0.6091645843926035, 0.7128961242318316, 0.9143303596964902, 1.0600156966481642, 1.2745098571496563, 1.375108623228856, 1.5566712829540705, 1.5941948306460194, 1.7476304090058432]"
1951,5,Mario Lanza,Be My Love,29094,1.1481582344269499,-6.841938552638031,0.9867471629516428,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949, 7.402451520818244, 7.584773077612199, 7.767263996757308, 7.949797216161852]","[-5.873127937671566, -5.466566505372095, -5.152490231305458, -4.6851718921515575, -4.500202204651632, -4.1910057367080755, -3.8261418331662127, -3.5487447538352597, -3.317836164541319, -3.067828733465107, -2.8144620924308215, -2.564895366602718, -2.3189297348283398, -2.0775481997003964, -1.8531165561310483, -1.6449240808773873, -1.415351072566336, -1.2060816957031497, -1.0098929953474567, -0.7909610975434698, -0.5662782906014748, -0.3778449487498164, -0.20504602369836805, -0.021458852792747833, 0.14295935331204052, 0.26971372839724955, 0.4489958402920881, 0.5609629238498778, 0.732437467442676, 0.8796963238232326, 1.0639257579172783, 1.2198743456423793, 1.336182976369411, 1.5192239622995605, 1.7392365438295194, 1.9397106876244559]"
