track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason,median_voiced_prob,jump_rate,octave_jump_rate
billboard_1960_04,billboard,1960,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1960_4_Johnny Preston_Running Bear_vocals.mp3,1960_4_Johnny Preston_Running Bear_vocals.mp3,Johnny Preston,Running Bear,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1960_04.npz,122.60136054421768,0.8609532138172278,0.9001893939393939,,0.12793708630129036,0.08122895622895623,0.0021043771043771043
billboard_1955_02,billboard,1955,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_2_Bill Haley & His Comets_Rock Around the Clock_vocals.mp3,1955_2_Bill Haley & His Comets_Rock Around the Clock_vocals.mp3,Bill Haley & His Comets,Rock Around the Clock,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1955_02.npz,52.8021768707483,0.5310227448553303,0.609938434476693,,0.24075439447557426,0.12481962481962482,0.001443001443001443
billboard_1957_03,billboard,1957,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_3_The Diamonds_Little Darlin_vocals.mp3,1957_3_The Diamonds_Little Darlin_vocals.mp3,The Diamonds,Little Darlin,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1957_03.npz,23.475374149659864,0.6580007323324789,,too_short,,,
billboard_1963_02,billboard,1963,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1963_2_Skeeter Davis_The End of the World_vocals.mp3,1963_2_Skeeter Davis_The End of the World_vocals.mp3,Skeeter Davis,The End of the World,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1963_02.npz,55.58857142857143,0.8329248954879631,0.9348370927318296,,0.6860828109301793,0.02637460885113992,0.0
billboard_1955_04,billboard,1955,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_4_Roger Williams_Autumn Leaves_vocals.mp3,1955_4_Roger Williams_Autumn Leaves_vocals.mp3,Roger Williams,Autumn Leaves,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1955_04.npz,17.87936507936508,0.3339174979778916,,too_short,,,
billboard_1959_01,billboard,1959,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_1_Johnny Horton_The Battle of New Orleans_vocals.mp3,1959_1_Johnny Horton_The Battle of New Orleans_vocals.mp3,Johnny Horton,The Battle of New Orleans,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1959_01.npz,22.01251700680272,0.7094293185663744,,too_short,,,
billboard_1951_03,billboard,1951,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1951_3_Les Paul & Mary Ford_How High the Moon_vocals.mp3,1951_3_Les Paul & Mary Ford_How High the Moon_vocals.mp3,Les Paul & Mary Ford,How High the Moon,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1951_03.npz,55.00807256235828,0.4676416819012797,0.5470662726888983,,0.01646758759311301,0.08571428571428572,0.006177606177606178
billboard_1961_02,billboard,1961,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1961_2_Patsy Cline and The Jordanaires_I Fall to Pieces_vocals.mp3,1961_2_Patsy Cline and The Jordanaires_I Fall to Pieces_vocals.mp3,Patsy Cline and The Jordanaires,I Fall to Pieces,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1961_02.npz,69.75274376417234,0.8400442784004428,0.9107856191744341,,0.4849868077159113,0.04314442413162706,0.004753199268738574
billboard_1951_04,billboard,1951,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1951_4_Rosemary Clooney_Come on-a My House_vocals.mp3,1951_4_Rosemary Clooney_Come on-a My House_vocals.mp3,Rosemary Clooney,Come on-a My House,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1951_04.npz,49.13342403628118,0.7762441679626749,0.8856332703213611,,0.42606232904328145,0.08595835557928456,0.0005339028296849973
billboard_1959_05,billboard,1959,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_5_Paul Anka_Lonely Boy_vocals.mp3,1959_5_Paul Anka_Lonely Boy_vocals.mp3,Paul Anka,Lonely Boy,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1959_05.npz,18.64562358276644,0.5136271383009569,,too_short,,,
