track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason
billboard_1950_01,billboard,1950,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1950_1_Gordon Jenkins & The Weavers_Goodnight Irene_vocals.mp3,1950_1_Gordon Jenkins & The Weavers_Goodnight Irene_vocals.mp3,Gordon Jenkins & The Weavers,Goodnight Irene,pending,,,,,
billboard_1950_02,billboard,1950,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1950_2_Nat King Cole_Mona Lisa_vocals.mp3,1950_2_Nat King Cole_Mona Lisa_vocals.mp3,Nat King Cole,Mona Lisa,pending,,,,,
billboard_1950_03,billboard,1950,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1950_3_Anton Karas_Third Man Theme_vocals.mp3,1950_3_Anton Karas_Third Man Theme_vocals.mp3,Anton Karas,Third Man Theme,pending,,,,,
billboard_1950_04,billboard,1950,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1950_4_Gary & Bing Crosby_Sam's Song_vocals.mp3,1950_4_Gary & Bing Crosby_Sam's Song_vocals.mp3,Gary & Bing Crosby,Sam's Song,pending,,,,,
billboard_1950_05,billboard,1950,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1950_5_Gary & Bing Crosby_Simple Melody_vocals.mp3,1950_5_Gary & Bing Crosby_Simple Melody_vocals.mp3,Gary & Bing Crosby,Simple Melody,pending,,,,,
billboard_1951_01,billboard,1951,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1951_1_Nat King Cole_Too Young_vocals.mp3,1951_1_Nat King Cole_Too Young_vocals.mp3,Nat King Cole,Too Young,pending,,,,,
billboard_1951_02,billboard,1951,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1951_2_Tony Bennett_Because of You_vocals.mp3,1951_2_Tony Bennett_Because of You_vocals.mp3,Tony Bennett,Because of You,pending,,,,,
billboard_1951_03,billboard,1951,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1951_3_Les Paul & Mary Ford_How High the Moon_vocals.mp3,1951_3_Les Paul & Mary Ford_How High the Moon_vocals.mp3,Les Paul & Mary Ford,How High the Moon,pending,,,,,
billboard_1951_04,billboard,1951,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1951_4_Rosemary Clooney_Come on-a My House_vocals.mp3,1951_4_Rosemary Clooney_Come on-a My House_vocals.mp3,Rosemary Clooney,Come on-a My House,pending,,,,,
billboard_1951_05,billboard,1951,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1951_5_Mario Lanza_Be My Love_vocals.mp3,1951_5_Mario Lanza_Be My Love_vocals.mp3,Mario Lanza,Be My Love,pending,,,,,
billboard_1952_01,billboard,1952,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1952_1_Leroy Anderson_Blue Tango_vocals.mp3,1952_1_Leroy Anderson_Blue Tango_vocals.mp3,Leroy Anderson,Blue Tango,pending,,,,,
billboard_1952_02,billboard,1952,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1952_2_Kay Starr_Wheel of Fortune_vocals.mp3,1952_2_Kay Starr_Wheel of Fortune_vocals.mp3,Kay Starr,Wheel of Fortune,pending,,,,,
billboard_1952_03,billboard,1952,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1952_3_Johnnie Ray & The Four Lads_Cry_vocals.mp3,1952_3_Johnnie Ray & The Four Lads_Cry_vocals.mp3,Johnnie Ray & The Four Lads,Cry,pending,,,,,
