filter,description,source,source_label,n,alpha_dfa_mean,alpha_dfa_std,alpha_dfa_median,alpha_dfa_p25,alpha_dfa_p75,alpha_width_mean,alpha_width_std,alpha_width_median,alpha_width_p25,alpha_width_p75,alpha_peak_mean,alpha_peak_std,alpha_peak_median,alpha_peak_p25,alpha_peak_p75,spectrum_skew_mean,spectrum_skew_std,spectrum_skew_median,spectrum_skew_p25,spectrum_skew_p75,delta_Hq_mean,delta_Hq_std,delta_Hq_median,delta_Hq_p25,delta_Hq_p75,contour_length_mean,contour_length_std,contour_length_median,contour_length_p25,contour_length_p75
all_accepted,All tracks that passed the server F0 quality gates.,billboard,Billboard,255,1.1024603554985468,0.17038443056461372,1.1272528690568733,1.0001452173200251,1.2262041240669,10.147617756911242,5.11404441280866,11.605552559528464,5.755728968805278,14.752745662808753,9.643441750972178,5.841253085129853,11.97452842351251,3.4178162896838105,14.91073264114074,-0.49510478899241434,0.6491059659294399,-0.8819569107895292,-0.9200195929556672,0.055238851658834756,9.534876270381881,5.227094070698382,11.073873822375006,5.465192968446834,14.05364780036468,2459.5803921568627,1152.4118735875957,2074.0,1697.0,2873.0
all_accepted,All tracks that passed the server F0 quality gates.,suno_v4_5,Suno v4.5,292,1.1616912193006923,0.1500258201077805,1.1635803599928258,1.07197584945413,1.2540693085504697,9.295823861462612,5.515742253106286,10.94417897163915,3.1942341062723782,14.505715685300025,8.974570425474345,6.001759220455514,11.364949526198728,1.9956834373174095,14.524619325806183,-0.43732879381449585,0.7008413263551476,-0.8586463326547977,-0.9048394846366805,0.06562064938973575,8.512640303377815,5.780545729219402,10.480112463493018,2.8202338202396415,13.6798609774948,2600.7123287671234,1359.7855195687746,2171.0,1698.25,2962.0
all_accepted,All tracks that passed the server F0 quality gates.,yue,YuE,153,1.1385393199059872,0.16772634695009137,1.1399185832067302,1.0299421082953413,1.248783343219363,8.285863485414527,5.754697108834716,9.38213798475493,1.8068772883122044,13.974806898710057,7.882199275277302,6.231224168025481,8.935006726690645,1.5652118217765485,14.096309655294334,-0.3280193162671568,0.7415081736029723,-0.827163324358457,-0.9059090517211746,0.24301693395997,7.462278022004721,6.050359000525235,8.828474410119686,1.4441574576108176,13.277282160860697,2081.02614379085,657.4410814877599,1918.0,1566.0,2384.0
coverage_ge_0.70,Accepted tracks with selected-region raw voiced coverage >= 0.70.,billboard,Billboard,252,1.1015285201163063,0.1695387901856798,1.127275778360257,0.9971341564440362,1.2259431681574293,10.253382992374277,5.050851081046146,11.646228649204282,6.028237235433809,14.769428588463143,9.753581070307083,5.786972663248256,11.982559461805714,3.5644856967220218,14.91836064708712,-0.5049671475915303,0.6383179030240166,-0.8828332995470747,-0.9199613124975105,0.04607514817494925,9.661521182542007,5.126412193994447,11.113724479662205,5.611906202626234,14.066333197556093,2462.7619047619046,1158.7258831011193,2069.5,1688.75,2877.25
coverage_ge_0.70,Accepted tracks with selected-region raw voiced coverage >= 0.70.,suno_v4_5,Suno v4.5,275,1.1597066340853863,0.14993526336599847,1.1624162819244563,1.0701126084888466,1.251723940974603,9.790261036174908,5.300434704668153,11.420439469428452,4.844427065545988,14.590435647483126,9.520137713861567,5.754804044815366,11.79347419435723,3.804694129566878,14.749126514679773,-0.5118357843777646,0.6398273016041968,-0.8693296118131714,-0.9098275540752121,-0.0095857117986482,9.103665287040053,5.428150408847477,10.98295953070411,4.349446748792962,14.01624308786145,2654.258181818182,1380.234945975348,2199.0,1761.0,3016.5
coverage_ge_0.70,Accepted tracks with selected-region raw voiced coverage >= 0.70.,yue,YuE,142,1.1360582958895764,0.16825115951747746,1.1388899277191735,1.031032382820824,1.2419378194672617,8.82693588021649,5.621054425582602,10.279379917062116,2.054421354496028,14.204127673921157,8.486048081369773,6.061638011992681,10.660814582695082,1.6885866752207956,14.251323958320178,-0.41680954499207734,0.6756527042233406,-0.8480112973858864,-0.9075203019742781,0.1289628026454771,8.118760284190035,5.781340437446638,9.755424175089896,1.7181257374287227,13.419164237812211,2100.6619718309857,660.6587609362023,1928.0,1579.25,2389.25
prob_ge_0.20,Accepted tracks with median pYIN voiced probability >= 0.20.,billboard,Billboard,133,1.1377534812788255,0.14015136762368507,1.1521323652763904,1.0627540528567996,1.2301031893281833,10.096991809819158,4.998338953021274,11.18602815576169,5.7557291994820545,14.441709665565591,9.745791557128507,5.630494624182746,11.410164111735613,4.053925002353041,14.772163646592588,-0.541346714189341,0.6044334542001404,-0.8850957031435409,-0.9149825649919217,-0.0018308616143878,9.485983827940029,5.081627779699354,10.69062386855453,5.4903207048023,13.930878360250254,2458.6015037593984,1075.7358294889161,2131.0,1766.0,2824.0
prob_ge_0.20,Accepted tracks with median pYIN voiced probability >= 0.20.,suno_v4_5,Suno v4.5,272,1.1641534759761125,0.15089860901217406,1.1635803599928258,1.0749913472864425,1.257221202666321,9.280223194518742,5.507724857584714,10.862964655331425,3.1942341062723782,14.49678701425848,8.96746471116775,5.983976608586389,11.240563611825742,2.009585451950872,14.524619325806183,-0.4430277705411613,0.6917601523837361,-0.857632244916615,-0.9087450234617213,0.04586152801855298,8.502501787549727,5.764078927634622,10.347403835282261,2.8202338202396415,13.643090346442884,2656.0992647058824,1389.9514185142284,2198.5,1732.5,3021.75
prob_ge_0.20,Accepted tracks with median pYIN voiced probability >= 0.20.,yue,YuE,135,1.1527487636569365,0.1469715414657997,1.1539616893656115,1.0411393994593292,1.2528342297498403,8.190812659061685,5.716662971000956,8.97526956925464,1.837575680393567,13.859054983608566,7.734676195572094,6.210366395859088,7.824730587594459,1.5644686956659402,13.908232763575882,-0.2964657873015688,0.74815401972312,-0.8233882948031069,-0.8991276565066442,0.28284249714065984,7.340193503217768,6.018972828098043,8.634295898262542,1.488375729815892,13.118233687942386,2100.0222222222224,675.9456225001494,1920.0,1563.0,2414.5
jump_clean,Accepted tracks with jump_rate <= 0.10 and octave_jump_rate <= 0.01.,billboard,Billboard,188,1.1118717151521824,0.16267587206906178,1.1461248031225915,1.0150310183970443,1.227147270248863,10.062143804333902,4.991784725682042,11.491252731040392,5.714717498153812,14.381762509204057,9.530460594496091,5.7531362893885065,11.623084921889301,3.4276031024288334,14.748599333378088,-0.4699896027604669,0.6610401197700545,-0.8731089530718059,-0.9155440065129237,0.08989183529662462,9.457443654509929,5.059065977104017,10.86311755245018,5.378200604998673,13.83073547576548,2493.2393617021276,1078.2669404215303,2132.0,1746.5,2978.25
