source,skip_reason,n,source_label,total_tracks,skipped_tracks,pct_of_source_total,pct_of_source_skipped
billboard,low_region_voiced_coverage,1,Billboard,381,126,0.0026246719160104987,0.007936507936507936
billboard,success,255,Billboard,381,126,0.6692913385826772,
billboard,too_short,125,Billboard,381,126,0.32808398950131235,0.9920634920634921
suno_v4_5,low_region_voiced_coverage,1,Suno v4.5,381,89,0.0026246719160104987,0.011235955056179775
suno_v4_5,success,292,Suno v4.5,381,89,0.7664041994750657,
suno_v4_5,too_short,88,Suno v4.5,381,89,0.23097112860892388,0.9887640449438202
yue,low_region_voiced_coverage,8,YuE,347,194,0.023054755043227664,0.041237113402061855
yue,no_valid_region,1,YuE,347,194,0.002881844380403458,0.005154639175257732
yue,success,153,YuE,347,194,0.4409221902017291,
yue,too_short,185,YuE,347,194,0.5331412103746398,0.9536082474226805
